Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2014-07-18,18:00,Podbeskidzie,2–3,Pogoń Szczecin,3100,Stadion Miejski BKS Stal,Tomasz Musiał,Match Report,
Regular Season,1,Fri,2014-07-18,20:30,Górnik Łęczna,1–1,Wisła Kraków,5025,Stadion Górnik,Szymon Marciniak,Match Report,
Regular Season,1,Sat,2014-07-19,18:00,Jagiellonia,2–2,Lechia Gdańsk,5782,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,1,Sat,2014-07-19,20:30,Legia Warsaw,0–1,GKS Bełchatów,8700,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,1,Sun,2014-07-20,15:30,Lech Poznań,4–0,Piast Gliwice,,INEA stadion,Paweł Gil,Match Report,
Regular Season,1,Sun,2014-07-20,15:30,Zawisza,2–0,Korona Kielce,2873,Stadion im. Zdzisława Krzyszkowiaka,Jarosław Przybył,Match Report,
Regular Season,1,Sun,2014-07-20,18:00,Śląsk Wrocław,2–0,Ruch Chorzów,10180,Stadion Miejski,Marcin Borski,Match Report,
Regular Season,1,Mon,2014-07-21,18:00,Górnik Zabrze,2–0,Cracovia,3000,Stadion im. Ernesta Pohla,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2014-07-25,18:00,GKS Bełchatów,2–0,Korona Kielce,3100,Stadion GKS-u,Szymon Marciniak,Match Report,
Regular Season,2,Fri,2014-07-25,20:30,Lechia Gdańsk,1–0,Podbeskidzie,14641,Stadion Energa Gdańsk,Paweł Gil,Match Report,
Regular Season,2,Sat,2014-07-26,18:00,Pogoń Szczecin,4–1,Śląsk Wrocław,7377,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,2,Sat,2014-07-26,20:30,Cracovia,1–3,Legia Warsaw,8308,Stadion Cracovii,Mariusz Złotek,Match Report,
Regular Season,2,Sun,2014-07-27,15:30,Zawisza,1–3,Jagiellonia,3000,Stadion im. Zdzisława Krzyszkowiaka,Tomasz Kwiatkowski,Match Report,
Regular Season,2,Sun,2014-07-27,18:00,Ruch Chorzów,1–2,Górnik Łęczna,999,Stadion Miejski ul. Cicha,Krzysztof Jakubik,Match Report,
Regular Season,2,Sun,2014-07-27,18:00,Górnik Zabrze,1–1,Lech Poznań,3000,Stadion im. Ernesta Pohla,Tomasz Musiał,Match Report,
Regular Season,2,Mon,2014-07-28,18:00,Wisła Kraków,1–1,Piast Gliwice,4277,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2014-08-01,18:00,Jagiellonia,2–1,Cracovia,6780,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,3,Fri,2014-08-01,20:30,Piast Gliwice,1–3,Lechia Gdańsk,4458,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,3,Sat,2014-08-02,18:00,Korona Kielce,2–2,Pogoń Szczecin,5741,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
Regular Season,3,Sat,2014-08-02,20:30,Legia Warsaw,1–1,Górnik Zabrze,12349,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,3,Sun,2014-08-03,15:30,Podbeskidzie,3–0,Ruch Chorzów,3200,Stadion Miejski BKS Stal,Szymon Marciniak,Match Report,
Regular Season,3,Sun,2014-08-03,15:30,Śląsk Wrocław,2–1,Zawisza,6839,Stadion Miejski,Mariusz Złotek,Match Report,
Regular Season,3,Sun,2014-08-03,18:00,Lech Poznań,2–3,Wisła Kraków,12264,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,3,Mon,2014-08-04,18:00,Górnik Łęczna,1–1,GKS Bełchatów,4053,Stadion Górnik,Marcin Borski,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2014-08-08,18:00,Cracovia,2–1,Korona Kielce,7057,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,4,Fri,2014-08-08,20:30,Górnik Zabrze,3–0,Jagiellonia,3000,Stadion im. Ernesta Pohla,Mariusz Złotek,Match Report,
Regular Season,4,Sat,2014-08-09,18:00,GKS Bełchatów,2–0,Śląsk Wrocław,3500,Stadion GKS-u,Tomasz Musiał,Match Report,
Regular Season,4,Sat,2014-08-09,20:30,Legia Warsaw,5–0,Górnik Łęczna,8000,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,4,Sun,2014-08-10,15:30,Lechia Gdańsk,1–2,Lech Poznań,25529,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,4,Sun,2014-08-10,15:30,Zawisza,1–2,Podbeskidzie,1873,Stadion im. Zdzisława Krzyszkowiaka,Krzysztof Jakubik,Match Report,
Regular Season,4,Sun,2014-08-10,18:00,Wisła Kraków,2–2,Ruch Chorzów,5783,Stadion Miejski ul. Cicha,Daniel Stefański,Match Report,
Regular Season,4,Mon,2014-08-11,18:00,Pogoń Szczecin,0–0,Piast Gliwice,7583,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2014-08-15,18:00,Korona Kielce,0–3,Górnik Zabrze,6582,Kolporter Arena,Jarosław Przybył,Match Report,
Regular Season,5,Fri,2014-08-15,20:30,Jagiellonia,0–3,Legia Warsaw,7435,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,5,Sat,2014-08-16,15:30,Górnik Łęczna,5–2,Zawisza,3058,Stadion Górnik,Tomasz Kwiatkowski,Match Report,
Regular Season,5,Sat,2014-08-16,18:00,Piast Gliwice,0–1,Ruch Chorzów,5111,Stadion Miejski,Marcin Borski,Match Report,
Regular Season,5,Sat,2014-08-16,20:30,Lech Poznań,1–1,Pogoń Szczecin,13174,INEA stadion,Tomasz Musiał,Match Report,
Regular Season,5,Sun,2014-08-17,15:30,Śląsk Wrocław,0–0,Cracovia,8150,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,5,Sun,2014-08-17,18:00,Wisła Kraków,3–1,Lechia Gdańsk,6016,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,5,Mon,2014-08-18,18:00,Podbeskidzie,1–1,GKS Bełchatów,3200,Stadion Miejski BKS Stal,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2014-08-22,18:00,Zawisza,0–2,Lechia Gdańsk,1564,Stadion im. Zdzisława Krzyszkowiaka,Tomasz Musiał,Match Report,
Regular Season,6,Fri,2014-08-22,20:30,Pogoń Szczecin,0–3,Wisła Kraków,8548,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
Regular Season,6,Sat,2014-08-23,15:30,Cracovia,1–3,Podbeskidzie,6143,Stadion Cracovii,Bartosz Frankowski,Match Report,
Regular Season,6,Sat,2014-08-23,18:00,Górnik Zabrze,2–0,Górnik Łęczna,3000,Stadion im. Ernesta Pohla,Tomasz Kwiatkowski,Match Report,
Regular Season,6,Sat,2014-08-23,20:30,Jagiellonia,1–3,Śląsk Wrocław,6435,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,6,Sun,2014-08-24,15:30,Legia Warsaw,2–0,Korona Kielce,12729,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,6,Sun,2014-08-24,18:00,Ruch Chorzów,0–0,Lech Poznań,7500,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,6,Mon,2014-08-25,18:00,GKS Bełchatów,0–0,Piast Gliwice,3200,Stadion GKS-u,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2014-08-29,18:00,Piast Gliwice,3–0,Zawisza,3292,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,7,Fri,2014-08-29,20:30,Wisła Kraków,1–0,GKS Bełchatów,16832,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,7,Sat,2014-08-30,15:30,Górnik Łęczna,4–2,Pogoń Szczecin,4179,Stadion Górnik,Krzysztof Jakubik,Match Report,
Regular Season,7,Sat,2014-08-30,18:00,Śląsk Wrocław,2–0,Górnik Zabrze,9793,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,7,Sat,2014-08-30,20:30,Korona Kielce,0–3,Jagiellonia,4610,Kolporter Arena,Marcin Borski,Match Report,
Regular Season,7,Sun,2014-08-31,15:30,Podbeskidzie,2–1,Legia Warsaw,3500,Stadion Miejski BKS Stal,Jarosław Przybył,Match Report,
Regular Season,7,Sun,2014-08-31,15:30,Lechia Gdańsk,3–3,Ruch Chorzów,14293,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,7,Sun,2014-08-31,18:00,Lech Poznań,1–1,Cracovia,14884,INEA stadion,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2014-09-12,18:00,Zawisza,2–4,Wisła Kraków,2653,Stadion im. Zdzisława Krzyszkowiaka,Marcin Borski,Match Report,
Regular Season,8,Fri,2014-09-12,20:30,Pogoń Szczecin,1–1,Ruch Chorzów,5829,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
Regular Season,8,Sat,2014-09-13,15:30,Cracovia,2–1,Górnik Łęczna,5624,Stadion Cracovii,Paweł Raczkowski,Match Report,
Regular Season,8,Sat,2014-09-13,18:00,Jagiellonia,1–0,Lech Poznań,7350,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,8,Sat,2014-09-13,20:30,Legia Warsaw,4–3,Śląsk Wrocław,16817,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,8,Sun,2014-09-14,15:30,Górnik Zabrze,1–2,Piast Gliwice,3000,Stadion im. Ernesta Pohla,Tomasz Musiał,Match Report,
Regular Season,8,Sun,2014-09-14,18:00,GKS Bełchatów,1–1,Lechia Gdańsk,3300,Stadion GKS-u,Mariusz Złotek,Match Report,
Regular Season,8,Mon,2014-09-15,18:00,Korona Kielce,2–1,Podbeskidzie,6142,Kolporter Arena,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2014-09-19,18:00,Śląsk Wrocław,1–0,Korona Kielce,7669,Stadion Miejski,Tomasz Musiał,Match Report,
