Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,9,Fri,2014-09-19,20:30,Lechia Gdańsk,0–1,Pogoń Szczecin,14000,Stadion Energa Gdańsk,Marcin Borski,Match Report,
Regular Season,9,Sat,2014-09-20,15:30,Piast Gliwice,4–2,Cracovia,4100,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,9,Sat,2014-09-20,18:00,Podbeskidzie,0–3,Górnik Zabrze,3250,Stadion Miejski BKS Stal,Paweł Gil,Match Report,
Regular Season,9,Sat,2014-09-20,20:30,Lech Poznań,6–2,Zawisza,11078,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,9,Sun,2014-09-21,15:30,Ruch Chorzów,0–1,GKS Bełchatów,5400,Stadion Miejski ul. Cicha,Jarosław Przybył,Match Report,
Regular Season,9,Sun,2014-09-21,18:00,Wisła Kraków,0–3,Legia Warsaw,31289,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,9,Mon,2014-09-22,18:00,Górnik Łęczna,0–0,Jagiellonia,5288,Stadion Górnik,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2014-09-26,18:00,Korona Kielce,1–0,Piast Gliwice,4665,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,10,Fri,2014-09-26,20:30,Śląsk Wrocław,1–1,Górnik Łęczna,11171,Stadion Miejski,Marcin Borski,Match Report,
Regular Season,10,Sat,2014-09-27,15:30,Zawisza,1–1,Ruch Chorzów,1200,Stadion im. Zdzisława Krzyszkowiaka,Paweł Gil,Match Report,
Regular Season,10,Sat,2014-09-27,18:00,GKS Bełchatów,1–0,Pogoń Szczecin,3100,Stadion GKS-u,Krzysztof Jakubik,Match Report,
Regular Season,10,Sat,2014-09-27,20:30,Legia Warsaw,2–2,Lech Poznań,25934,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,10,Sun,2014-09-28,15:30,Górnik Zabrze,2–2,Lechia Gdańsk,3000,Stadion im. Ernesta Pohla,Jarosław Przybył,Match Report,
Regular Season,10,Sun,2014-09-28,18:00,Cracovia,1–0,Wisła Kraków,14114,Stadion Cracovii,Paweł Raczkowski,Match Report,
Regular Season,10,Mon,2014-09-29,18:00,Jagiellonia,4–2,Podbeskidzie,5775,Stadion Miejski,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2014-10-03,18:00,Podbeskidzie,2–2,Śląsk Wrocław,3200,Stadion Miejski BKS Stal,Jarosław Przybył,Match Report,
Regular Season,11,Fri,2014-10-03,20:30,Wisła Kraków,0–2,Jagiellonia,11144,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,11,Sat,2014-10-04,15:30,Górnik Łęczna,1–0,Korona Kielce,3815,Stadion Górnik,Mariusz Złotek,Match Report,
Regular Season,11,Sat,2014-10-04,18:00,Lechia Gdańsk,1–0,Cracovia,12510,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,11,Sat,2014-10-04,20:30,Ruch Chorzów,1–2,Górnik Zabrze,8743,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,11,Sun,2014-10-05,15:30,Piast Gliwice,3–1,Legia Warsaw,7417,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,11,Sun,2014-10-05,15:30,Pogoń Szczecin,3–0,Zawisza,6128,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
Regular Season,11,Sun,2014-10-05,18:00,Lech Poznań,5–0,GKS Bełchatów,18717,INEA stadion,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2014-10-17,18:00,Cracovia,1–0,Ruch Chorzów,6112,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,12,Fri,2014-10-17,20:30,Legia Warsaw,1–0,Lechia Gdańsk,18171,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,12,Sat,2014-10-18,15:30,Śląsk Wrocław,3–0,Piast Gliwice,14746,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,12,Sat,2014-10-18,15:30,Podbeskidzie,1–0,Górnik Łęczna,3200,Stadion Miejski BKS Stal,Mariusz Złotek,Match Report,
Regular Season,12,Sat,2014-10-18,18:00,Jagiellonia,5–0,Pogoń Szczecin,21196,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,12,Sun,2014-10-19,15:30,Korona Kielce,2–2,Lech Poznań,7401,Kolporter Arena,Krzysztof Jakubik,Match Report,
Regular Season,12,Sun,2014-10-19,18:00,Górnik Zabrze,0–5,Wisła Kraków,3000,Stadion im. Ernesta Pohla,Tomasz Kwiatkowski,Match Report,
Regular Season,12,Mon,2014-10-20,18:00,Zawisza,2–1,GKS Bełchatów,2600,Stadion im. Zdzisława Krzyszkowiaka,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2014-10-24,18:00,GKS Bełchatów,1–0,Górnik Zabrze,2830,Stadion GKS-u,Mariusz Złotek,Match Report,
Regular Season,13,Fri,2014-10-24,20:30,Wisła Kraków,3–2,Podbeskidzie,10709,Stadion Miejski im. Henryka Reymana,Marcin Borski,Match Report,
Regular Season,13,Sat,2014-10-25,15:30,Lechia Gdańsk,1–4,Śląsk Wrocław,13966,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,13,Sat,2014-10-25,15:30,Piast Gliwice,0–2,Jagiellonia,3829,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,13,Sat,2014-10-25,18:00,Pogoń Szczecin,2–1,Cracovia,4354,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
Regular Season,13,Sun,2014-10-26,15:30,Lech Poznań,1–0,Górnik Łęczna,14882,INEA stadion,Szymon Marciniak,Match Report,
Regular Season,13,Sun,2014-10-26,18:00,Zawisza,1–2,Legia Warsaw,4600,Stadion im. Zdzisława Krzyszkowiaka,Tomasz Musiał,Match Report,
Regular Season,13,Mon,2014-10-27,18:00,Ruch Chorzów,0–1,Korona Kielce,4254,Stadion Miejski ul. Cicha,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2014-10-31,18:00,Górnik Łęczna,1–1,Lechia Gdańsk,4033,Stadion Górnik,Tomasz Musiał,Match Report,
Regular Season,14,Fri,2014-10-31,20:30,Korona Kielce,3–2,Wisła Kraków,7089,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,14,Sun,2014-11-02,13:00,Górnik Zabrze,1–1,Pogoń Szczecin,3000,Stadion im. Ernesta Pohla,Bartosz Frankowski,Match Report,
Regular Season,14,Sun,2014-11-02,15:30,Cracovia,1–0,Zawisza,5234,Stadion Cracovii,Jarosław Przybył,Match Report,
Regular Season,14,Sun,2014-11-02,15:30,Śląsk Wrocław,1–1,Lech Poznań,22687,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,14,Sun,2014-11-02,18:00,Legia Warsaw,2–1,Ruch Chorzów,12918,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Złotek,Match Report,
Regular Season,14,Mon,2014-11-03,18:00,Podbeskidzie,2–4,Piast Gliwice,3150,Stadion Miejski BKS Stal,Krzysztof Jakubik,Match Report,
Regular Season,14,Mon,2014-11-03,20:30,Jagiellonia,0–1,GKS Bełchatów,12307,Stadion Miejski,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2014-11-07,18:00,Piast Gliwice,0–0,Górnik Łęczna,3852,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,15,Fri,2014-11-07,20:30,Lech Poznań,1–1,Podbeskidzie,12991,INEA stadion,Mariusz Złotek,Match Report,
Regular Season,15,Sat,2014-11-08,15:30,Lechia Gdańsk,1–2,Korona Kielce,8991,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,15,Sat,2014-11-08,18:00,GKS Bełchatów,1–1,Cracovia,2670,Stadion GKS-u,Bartosz Frankowski,Match Report,
Regular Season,15,Sat,2014-11-08,20:30,Wisła Kraków,1–1,Śląsk Wrocław,14242,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,15,Sun,2014-11-09,15:30,Zawisza,1–2,Górnik Zabrze,1686,Stadion im. Zdzisława Krzyszkowiaka,Paweł Raczkowski,Match Report,
Regular Season,15,Sun,2014-11-09,15:30,Ruch Chorzów,5–2,Jagiellonia,4100,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,15,Sun,2014-11-09,18:00,Pogoń Szczecin,2–1,Legia Warsaw,8324,Stadion Miejski im. Floriana Krygiera,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2014-11-21,18:00,Ruch Chorzów,1–0,Śląsk Wrocław,5300,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,16,Fri,2014-11-21,20:30,GKS Bełchatów,0–3,Legia Warsaw,4765,Stadion GKS-u,Bartosz Frankowski,Match Report,
Regular Season,16,Sat,2014-11-22,15:30,Wisła Kraków,2–0,Górnik Łęczna,10032,Stadion Miejski im. Henryka Reymana,Mariusz Złotek,Match Report,
Regular Season,16,Sat,2014-11-22,15:30,Pogoń Szczecin,1–2,Podbeskidzie,4314,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,16,Sat,2014-11-22,18:00,Korona Kielce,2–2,Zawisza,5801,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
Regular Season,16,Sun,2014-11-23,15:30,Lechia Gdańsk,1–1,Jagiellonia,8805,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,16,Sun,2014-11-23,18:00,Piast Gliwice,3–2,Lech Poznań,5173,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,16,Mon,2014-11-24,18:00,Cracovia,1–2,Górnik Zabrze,5114,Stadion Cracovii,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2014-11-28,18:00,Górnik Łęczna,3–0,Ruch Chorzów,3894,Stadion Górnik,Krzysztof Jakubik,Match Report,
Regular Season,17,Fri,2014-11-28,20:30,Piast Gliwice,0–0,Wisła Kraków,5450,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,17,Sat,2014-11-29,15:30,Jagiellonia,0–0,Zawisza,6513,Stadion Miejski,Mariusz Złotek,Match Report,
Regular Season,17,Sat,2014-11-29,15:30,Podbeskidzie,1–0,Lechia Gdańsk,3250,Stadion Miejski BKS Stal,Tomasz Kwiatkowski,Match Report,
Regular Season,17,Sat,2014-11-29,18:00,Korona Kielce,2–0,GKS Bełchatów,4541,Kolporter Arena,Tomasz Musiał,Match Report,
Regular Season,17,Sun,2014-11-30,15:30,Lech Poznań,3–0,Górnik Zabrze,12749,INEA stadion,Bartosz Frankowski,Match Report,
Regular Season,17,Sun,2014-11-30,18:00,Śląsk Wrocław,1–1,Pogoń Szczecin,8297,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,17,Mon,2014-12-01,18:00,Legia Warsaw,2–0,Cracovia,12506,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2014-12-05,18:00,Zawisza,0–1,Śląsk Wrocław,1026,Stadion im. Zdzisława Krzyszkowiaka,Marcin Borski,Match Report,
Regular Season,18,Fri,2014-12-05,20:30,Górnik Zabrze,0–4,Legia Warsaw,3000,Stadion im. Ernesta Pohla,Paweł Gil,Match Report,
Regular Season,18,Sat,2014-12-06,15:30,GKS Bełchatów,1–1,Górnik Łęczna,2158,Stadion GKS-u,Paweł Raczkowski,Match Report,
Regular Season,18,Sat,2014-12-06,15:30,Pogoń Szczecin,2–0,Korona Kielce,3500,Stadion Miejski im. Floriana Krygiera,Mariusz Złotek,Match Report,
Regular Season,18,Sat,2014-12-06,18:00,Cracovia,1–1,Jagiellonia,4563,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,18,Sun,2014-12-07,15:30,Lechia Gdańsk,3–1,Piast Gliwice,7619,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
Regular Season,18,Sun,2014-12-07,18:00,Wisła Kraków,1–2,Lech Poznań,17263,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,18,Mon,2014-12-08,18:00,Ruch Chorzów,2–0,Podbeskidzie,3458,Stadion Miejski ul. Cicha,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2014-12-12,18:00,Korona Kielce,1–2,Cracovia,5368,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,19,Fri,2014-12-12,20:30,Śląsk Wrocław,2–1,GKS Bełchatów,7315,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,19,Sat,2014-12-13,15:30,Ruch Chorzów,1–2,Wisła Kraków,6827,Stadion Miejski im. Henryka Reymana,Mariusz Złotek,Match Report,
Regular Season,19,Sat,2014-12-13,15:30,Jagiellonia,1–0,Górnik Zabrze,7185,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,19,Sat,2014-12-13,18:00,Lech Poznań,1–0,Lechia Gdańsk,16029,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,19,Sun,2014-12-14,15:30,Podbeskidzie,2–1,Zawisza,3037,Stadion Miejski BKS Stal,Paweł Raczkowski,Match Report,
Regular Season,19,Sun,2014-12-14,18:00,Górnik Łęczna,3–1,Legia Warsaw,7000,Stadion Górnik,Bartosz Frankowski,Match Report,
Regular Season,19,Mon,2014-12-15,18:00,Piast Gliwice,1–0,Pogoń Szczecin,3506,Stadion Miejski,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,20,Fri,2015-02-13,18:00,Zawisza,0–0,Górnik Łęczna,1210,Stadion im. Zdzisława Krzyszkowiaka,Paweł Raczkowski,Match Report,
Regular Season,20,Fri,2015-02-13,20:30,Lechia Gdańsk,1–0,Wisła Kraków,14363,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,20,Sat,2015-02-14,15:30,Ruch Chorzów,2–0,Piast Gliwice,6650,Stadion Miejski ul. Cicha,Tomasz Kwiatkowski,Match Report,
Regular Season,20,Sat,2015-02-14,15:30,GKS Bełchatów,1–2,Podbeskidzie,2550,Stadion GKS-u,Krzysztof Jakubik,Match Report,
Regular Season,20,Sat,2015-02-14,18:00,Pogoń Szczecin,1–1,Lech Poznań,9684,Stadion Miejski im. Floriana Krygiera,Tomasz Musiał,Match Report,
Regular Season,20,Sun,2015-02-15,15:30,Cracovia,1–1,Śląsk Wrocław,8156,Stadion Cracovii,Bartosz Frankowski,Match Report,
Regular Season,20,Sun,2015-02-15,18:00,Legia Warsaw,1–3,Jagiellonia,20663,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,20,Mon,2015-02-16,18:00,Górnik Zabrze,1–1,Korona Kielce,3000,Stadion im. Ernesta Pohla,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2015-02-20,18:00,Podbeskidzie,1–1,Cracovia,4568,Stadion Miejski BKS Stal,Marcin Borski,Match Report,
Regular Season,21,Fri,2015-02-20,20:30,Wisła Kraków,1–1,Pogoń Szczecin,9083,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,21,Sat,2015-02-21,15:30,Lechia Gdańsk,0–0,Zawisza,15624,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,21,Sat,2015-02-21,15:30,Górnik Łęczna,0–1,Górnik Zabrze,3359,Stadion Górnik,Tomasz Musiał,Match Report,
Regular Season,21,Sat,2015-02-21,18:00,Śląsk Wrocław,0–1,Jagiellonia,9097,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,21,Sun,2015-02-22,15:30,Lech Poznań,2–1,Ruch Chorzów,16672,INEA stadion,Mariusz Złotek,Match Report,
Regular Season,21,Sun,2015-02-22,18:00,Korona Kielce,0–0,Legia Warsaw,11006,Kolporter Arena,Bartosz Frankowski,Match Report,
Regular Season,21,Mon,2015-02-23,18:00,Piast Gliwice,3–1,GKS Bełchatów,2909,Stadion Miejski,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,22,Fri,2015-02-27,18:00,Ruch Chorzów,1–1,Lechia Gdańsk,5568,Stadion Miejski ul. Cicha,Tomasz Musiał,Match Report,
Regular Season,22,Fri,2015-02-27,20:30,Cracovia,0–0,Lech Poznań,9151,Stadion Cracovii,Rafał Rostkowski,Match Report,
Regular Season,22,Sat,2015-02-28,15:30,Zawisza,2–0,Piast Gliwice,1295,Stadion im. Zdzisława Krzyszkowiaka,Marcin Borski,Match Report,
Regular Season,22,Sat,2015-02-28,15:30,GKS Bełchatów,3–1,Wisła Kraków,3446,Stadion GKS-u,Bartosz Frankowski,Match Report,
Regular Season,22,Sat,2015-02-28,18:00,Górnik Zabrze,3–3,Śląsk Wrocław,3000,Stadion im. Ernesta Pohla,Mariusz Złotek,Match Report,
Regular Season,22,Sun,2015-03-01,15:30,Jagiellonia,1–2,Korona Kielce,15359,Stadion Miejski,Szymon Marciniak,Match Report,
