Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,,
Regular Season,3,Fri,2019-08-02,18:00,Arka Gdynia,1–1,Korona Kielce,7345,Stadion GOSiR,Krzysztof Jakubik,Match Report,
Regular Season,3,Fri,2019-08-02,20:30,Zagłębie Lubin,2–2,Jagiellonia,4003,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Regular Season,3,Sat,2019-08-03,17:30,RKS Raków,1–3,Cracovia,3167,Stadion Raków,Paweł Raczkowski,Match Report,
Regular Season,3,Sat,2019-08-03,20:00,Łódzki KS,1–2,Lech Poznań,5452,Stadion ŁKS-u,Daniel Stefański,Match Report,
Regular Season,3,Sun,2019-08-04,15:00,Wisła Płock,1–2,Lechia Gdańsk,5511,Stadion im. Kazimierza Górskiego,Bartosz Frankowski,Match Report,
Regular Season,3,Sun,2019-08-04,17:30,Legia Warsaw,0–0,Śląsk Wrocław,18003,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,3,Sun,2019-08-04,17:30,Piast Gliwice,0–0,Pogoń Szczecin,4219,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,3,Mon,2019-08-05,18:00,Wisła Kraków,1–0,Górnik Zabrze,15007,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2019-08-09,20:30,Lech Poznań,1–3,Śląsk Wrocław,32307,INEA stadion,Szymon Marciniak,Match Report,
Regular Season,4,Sat,2019-08-10,15:00,Pogoń Szczecin,1–0,Wisła Kraków,3947,Stadion Miejski im. Floriana Krygiera,Piotr Lasyk,Match Report,
Regular Season,4,Sat,2019-08-10,17:30,Zagłębie Lubin,2–0,Arka Gdynia,5125,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,4,Sat,2019-08-10,20:00,Górnik Zabrze,1–0,RKS Raków,17958,Arena Zabrze,Bartosz Frankowski,Match Report,
Regular Season,4,Sun,2019-08-11,15:00,Łódzki KS,0–1,Piast Gliwice,5277,Stadion ŁKS-u,Łukasz Szczech,Match Report,
Regular Season,4,Sun,2019-08-11,17:30,Cracovia,1–0,Korona Kielce,7698,Stadion Cracovii,Tomasz Kwiatkowski,Match Report,
Regular Season,4,Mon,2019-08-12,18:00,Lechia Gdańsk,1–1,Jagiellonia,13348,Stadion Energa Gdańsk,Mariusz Zlotek,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2019-08-16,20:30,Wisła Kraków,4–0,Łódzki KS,17045,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,5,Sat,2019-08-17,15:00,Śląsk Wrocław,2–1,Cracovia,16702,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,5,Sat,2019-08-17,17:30,Arka Gdynia,0–0,Lech Poznań,10098,Stadion GOSiR,Paweł Raczkowski,Match Report,
Regular Season,5,Sat,2019-08-17,20:00,Jagiellonia,3–1,Górnik Zabrze,10656,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,5,Sun,2019-08-18,15:00,Piast Gliwice,1–0,Wisła Płock,3779,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,5,Sun,2019-08-18,17:30,Legia Warsaw,1–0,Zagłębie Lubin,16262,Stadion Miejski Legii Warszawa im. Marsz...,Piotr Lasyk,Match Report,
Regular Season,5,Sun,2019-08-18,17:30,RKS Raków,2–1,Lechia Gdańsk,3607,Stadion Raków,Jarosław Przybył,Match Report,
Regular Season,5,Mon,2019-08-19,18:00,Korona Kielce,0–1,Pogoń Szczecin,6019,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2019-08-23,20:30,Jagiellonia,3–2,Wisła Kraków,12251,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,6,Sat,2019-08-24,15:00,Cracovia,3–1,Arka Gdynia,7341,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,6,Sat,2019-08-24,17:30,Lechia Gdańsk,1–1,Śląsk Wrocław,13691,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,6,Sat,2019-08-24,20:00,RKS Raków,2–3,Lech Poznań,4018,Stadion Raków,Mariusz Zlotek,Match Report,
Regular Season,6,Sun,2019-08-25,15:00,Górnik Zabrze,3–0,Korona Kielce,18573,Arena Zabrze,Wojciech Myć,Match Report,
Regular Season,6,Sun,2019-08-25,17:30,Łódzki KS,2–3,Legia Warsaw,5452,Stadion ŁKS-u,Jarosław Przybył,Match Report,
Regular Season,6,Sun,2019-08-25,17:30,Zagłębie Lubin,0–3,Piast Gliwice,3462,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
Regular Season,6,Mon,2019-08-26,18:00,Pogoń Szczecin,1–2,Wisła Płock,3894,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2019-08-30,18:00,Arka Gdynia,1–0,Górnik Zabrze,6321,Stadion GOSiR,Jarosław Przybył,Match Report,
Regular Season,7,Fri,2019-08-30,20:30,Korona Kielce,0–2,Jagiellonia,5261,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,7,Sat,2019-08-31,15:00,Wisła Płock,2–1,Łódzki KS,6019,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,7,Sat,2019-08-31,17:30,Piast Gliwice,1–2,Lechia Gdańsk,4875,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,7,Sat,2019-08-31,20:00,Wisła Kraków,4–2,Zagłębie Lubin,14616,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
Regular Season,7,Sun,2019-09-01,15:00,Śląsk Wrocław,1–1,Pogoń Szczecin,24968,Stadion Miejski,Piotr Lasyk,Match Report,
Regular Season,7,Sun,2019-09-01,17:30,Lech Poznań,1–2,Cracovia,25768,INEA stadion,Bartosz Frankowski,Match Report,
Regular Season,7,Sun,2019-09-01,20:00,Legia Warsaw,3–1,RKS Raków,13000,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2019-09-13,18:00,Zagłębie Lubin,5–0,Wisła Płock,2876,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
Regular Season,8,Fri,2019-09-13,20:30,Jagiellonia,0–0,Legia Warsaw,19308,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,8,Sat,2019-09-14,15:00,RKS Raków,2–0,Arka Gdynia,2511,Stadion Raków,Paweł Raczkowski,Match Report,
Regular Season,8,Sat,2019-09-14,17:30,Lechia Gdańsk,2–1,Lech Poznań,14008,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,8,Sat,2019-09-14,20:00,Korona Kielce,1–1,Wisła Kraków,7073,Kolporter Arena,Paweł Gil,Match Report,
Regular Season,8,Sun,2019-09-15,15:00,Pogoń Szczecin,1–0,Łódzki KS,3829,Stadion Miejski im. Floriana Krygiera,Tomasz Musiał,Match Report,
Regular Season,8,Sun,2019-09-15,17:30,Górnik Zabrze,0–0,Śląsk Wrocław,17450,Arena Zabrze,Bartosz Frankowski,Match Report,
Regular Season,8,Mon,2019-09-16,18:00,Cracovia,2–0,Piast Gliwice,6586,Stadion Cracovii,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,4,Wed,2019-09-18,18:00,Wisła Płock,1–0,Legia Warsaw,7419,Stadion im. Kazimierza Górskiego,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2019-09-20,18:00,Piast Gliwice,2–1,RKS Raków,4260,Stadion Miejski,Wojciech Myć,Match Report,
Regular Season,9,Fri,2019-09-20,20:30,Lech Poznań,1–1,Jagiellonia,11947,INEA stadion,Tomasz Musiał,Match Report,
Regular Season,9,Sat,2019-09-21,15:00,Łódzki KS,1–4,Arka Gdynia,5160,Stadion ŁKS-u,Tomasz Kwiatkowski,Match Report,
Regular Season,9,Sat,2019-09-21,17:30,Lechia Gdańsk,2–0,Korona Kielce,11708,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
Regular Season,9,Sat,2019-09-21,20:00,Śląsk Wrocław,4–4,Zagłębie Lubin,20434,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,9,Sun,2019-09-22,12:30,Wisła Płock,2–1,Wisła Kraków,4317,Stadion Miejski im. Henryka Reymana,Łukasz Szczech,Match Report,
Regular Season,9,Sun,2019-09-22,15:00,Pogoń Szczecin,1–1,Górnik Zabrze,3821,Stadion Miejski im. Floriana Krygiera,Paweł Gil,Match Report,
Regular Season,9,Sun,2019-09-22,17:30,Cracovia,1–2,Legia Warsaw,13053,Stadion Cracovii,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2019-09-27,20:30,Korona Kielce,1–0,Śląsk Wrocław,3651,Kolporter Arena,Paweł Gil,Match Report,
Regular Season,10,Sat,2019-09-28,15:00,RKS Raków,1–2,Wisła Płock,2578,Stadion Raków,Tomasz Kwiatkowski,Match Report,
Regular Season,10,Sat,2019-09-28,17:30,Legia Warsaw,1–2,Lechia Gdańsk,23892,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,10,Sat,2019-09-28,20:00,Górnik Zabrze,1–3,Lech Poznań,15662,Arena Zabrze,Jarosław Przybył,Match Report,
Regular Season,10,Sun,2019-09-29,12:30,Arka Gdynia,0–0,Piast Gliwice,6039,Stadion GOSiR,Tomasz Musiał,Match Report,
Regular Season,10,Sun,2019-09-29,15:00,Jagiellonia,2–3,Pogoń Szczecin,9414,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,10,Sun,2019-09-29,17:30,Wisła Kraków,0–1,Cracovia,33000,Stadion Miejski im. Henryka Reymana,Piotr Lasyk,Match Report,
Regular Season,10,Mon,2019-09-30,18:00,Zagłębie Lubin,3–1,Łódzki KS,4155,Stadion Zagłębia Lubin,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2019-10-04,18:00,Wisła Płock,4–1,Arka Gdynia,4003,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,11,Fri,2019-10-04,20:30,Śląsk Wrocław,1–1,Jagiellonia,12072,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,11,Sat,2019-10-05,15:00,Pogoń Szczecin,1–2,RKS Raków,3672,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,11,Sat,2019-10-05,17:30,Lech Poznań,4–0,Wisła Kraków,15089,INEA stadion,Daniel Stefański,Match Report,
Regular Season,11,Sat,2019-10-05,20:00,Lechia Gdańsk,1–2,Zagłębie Lubin,8863,Stadion Energa Gdańsk,Piotr Lasyk,Match Report,
Regular Season,11,Sun,2019-10-06,12:30,Łódzki KS,4–1,Korona Kielce,5168,Stadion ŁKS-u,Bartosz Frankowski,Match Report,
Regular Season,11,Sun,2019-10-06,15:00,Cracovia,1–1,Górnik Zabrze,8783,Stadion Cracovii,Mariusz Zlotek,Match Report,
Regular Season,11,Sun,2019-10-06,17:30,Piast Gliwice,2–0,Legia Warsaw,6813,Stadion Miejski,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2019-10-18,18:00,Zagłębie Lubin,0–1,Pogoń Szczecin,4661,Stadion Zagłębia Lubin,Szymon Marciniak,Match Report,
Regular Season,12,Fri,2019-10-18,20:30,Wisła Kraków,1–2,Piast Gliwice,16932,Stadion Miejski im. Henryka Reymana,Mariusz Zlotek,Match Report,
Regular Season,12,Sat,2019-10-19,15:00,Korona Kielce,0–1,Wisła Płock,3621,Kolporter Arena,Daniel Stefański,Match Report,
Regular Season,12,Sat,2019-10-19,17:30,Legia Warsaw,2–1,Lech Poznań,28000,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
Regular Season,12,Sat,2019-10-19,20:00,Jagiellonia,3–2,Cracovia,8622,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,12,Sun,2019-10-20,15:00,Arka Gdynia,2–2,Lechia Gdańsk,13011,Stadion GOSiR,Tomasz Kwiatkowski,Match Report,
Regular Season,12,Sun,2019-10-20,17:30,Górnik Zabrze,1–1,Łódzki KS,12859,Arena Zabrze,Paweł Raczkowski,Match Report,
Regular Season,12,Mon,2019-10-21,18:00,RKS Raków,1–0,Śląsk Wrocław,3041,Stadion Raków,Łukasz Szczech,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2019-10-25,18:00,Cracovia,2–0,Pogoń Szczecin,8764,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,13,Fri,2019-10-25,20:30,Lech Poznań,1–2,Zagłębie Lubin,12417,INEA stadion,Jarosław Przybył,Match Report,
Regular Season,13,Sat,2019-10-26,15:00,Łódzki KS,2–0,RKS Raków,5160,Stadion ŁKS-u,Szymon Marciniak,Match Report,
Regular Season,13,Sat,2019-10-26,17:30,Piast Gliwice,1–0,Korona Kielce,4800,Stadion Miejski,Zbigniew Dobrynin,Match Report,
Regular Season,13,Sat,2019-10-26,20:00,Lechia Gdańsk,1–1,Górnik Zabrze,9357,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,13,Sun,2019-10-27,12:30,Wisła Płock,3–1,Jagiellonia,7098,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
Regular Season,13,Sun,2019-10-27,15:00,Śląsk Wrocław,2–1,Arka Gdynia,10532,Stadion Miejski,Piotr Lasyk,Match Report,
Regular Season,13,Sun,2019-10-27,17:30,Legia Warsaw,7–0,Wisła Kraków,22413,Stadion Miejski Legii Warszawa im. Marsz...,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,14,Sat,2019-11-02,15:00,Korona Kielce,1–0,Zagłębie Lubin,3271,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,14,Sat,2019-11-02,17:30,Cracovia,1–0,Lechia Gdańsk,8612,Stadion Cracovii,Krzysztof Jakubik,Match Report,
Regular Season,14,Sat,2019-11-02,20:00,Pogoń Szczecin,1–1,Lech Poznań,3697,Stadion Miejski im. Floriana Krygiera,Łukasz Szczech,Match Report,
Regular Season,14,Sun,2019-11-03,12:30,Jagiellonia,2–0,Łódzki KS,8444,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,14,Sun,2019-11-03,15:00,Górnik Zabrze,1–1,Piast Gliwice,15219,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
Regular Season,14,Sun,2019-11-03,17:30,Arka Gdynia,0–1,Legia Warsaw,7416,Stadion GOSiR,Wojciech Myć,Match Report,
Regular Season,14,Mon,2019-11-04,18:00,Śląsk Wrocław,3–1,Wisła Płock,7705,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,14,Mon,2019-11-04,20:30,RKS Raków,1–0,Wisła Kraków,2574,Stadion Raków,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2019-11-08,18:00,Łódzki KS,0–1,Śląsk Wrocław,5160,Stadion ŁKS-u,Krzysztof Jakubik,Match Report,
Regular Season,15,Fri,2019-11-08,20:30,Piast Gliwice,3–1,Jagiellonia,4134,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,15,Sat,2019-11-09,15:00,Wisła Płock,0–0,Cracovia,4212,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,15,Sat,2019-11-09,17:30,Legia Warsaw,5–1,Górnik Zabrze,22596,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Zlotek,Match Report,
Regular Season,15,Sat,2019-11-09,20:00,Wisła Kraków,0–1,Arka Gdynia,10076,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,15,Sun,2019-11-10,12:30,Zagłębie Lubin,2–2,RKS Raków,3657,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
Regular Season,15,Sun,2019-11-10,15:00,Lech Poznań,0–0,Korona Kielce,22179,INEA stadion,Piotr Lasyk,Match Report,
Regular Season,15,Sun,2019-11-10,17:30,Lechia Gdańsk,0–1,Pogoń Szczecin,12161,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2019-11-22,18:00,Górnik Zabrze,2–2,Wisła Płock,8201,Arena Zabrze,Paweł Gil,Match Report,
Regular Season,16,Fri,2019-11-22,20:30,Lech Poznań,3–0,Piast Gliwice,8241,INEA stadion,Szymon Marciniak,Match Report,
Regular Season,16,Sat,2019-11-23,15:00,Korona Kielce,3–0,RKS Raków,4116,Kolporter Arena,Tomasz Musiał,Match Report,
Regular Season,16,Sat,2019-11-23,17:30,Pogoń Szczecin,3–1,Legia Warsaw,3739,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
Regular Season,16,Sat,2019-11-23,20:00,Lechia Gdańsk,3–1,Łódzki KS,7674,Stadion Energa Gdańsk,Wojciech Myć,Match Report,
Regular Season,16,Sun,2019-11-24,15:00,Jagiellonia,2–0,Arka Gdynia,6275,Stadion Miejski,Łukasz Szczech,Match Report,
Regular Season,16,Sun,2019-11-24,17:30,Śląsk Wrocław,2–1,Wisła Kraków,13155,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,16,Mon,2019-11-25,18:00,Cracovia,2–0,Zagłębie Lubin,7236,Stadion Cracovii,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2019-11-29,18:00,Zagłębie Lubin,2–0,Górnik Zabrze,2212,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
Regular Season,17,Fri,2019-11-29,20:30,Wisła Płock,0–2,Lech Poznań,4501,Stadion Miejski im. Henryka Reymana,Mariusz Zlotek,Match Report,
Regular Season,17,Sat,2019-11-30,15:00,Arka Gdynia,1–1,Pogoń Szczecin,5072,Stadion GOSiR,Szymon Marciniak,Match Report,
Regular Season,17,Sat,2019-11-30,17:30,Piast Gliwice,0–3,Śląsk Wrocław,4006,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,17,Sat,2019-11-30,20:00,Legia Warsaw,4–0,Korona Kielce,18836,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,17,Sun,2019-12-01,12:30,RKS Raków,2–1,Jagiellonia,2381,Stadion Raków,Krzysztof Jakubik,Match Report,
Regular Season,17,Sun,2019-12-01,15:00,Łódzki KS,1–0,Cracovia,5160,Stadion ŁKS-u,Piotr Lasyk,Match Report,
Regular Season,17,Sun,2019-12-01,17:30,Wisła Kraków,0–1,Lechia Gdańsk,10089,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2019-12-06,18:00,Korona Kielce,0–1,Arka Gdynia,3742,Kolporter Arena,Mariusz Zlotek,Match Report,
Regular Season,18,Fri,2019-12-06,20:30,Górnik Zabrze,4–2,Wisła Kraków,9612,Arena Zabrze,Bartosz Frankowski,Match Report,
Regular Season,18,Sat,2019-12-07,15:00,Jagiellonia,0–1,Zagłębie Lubin,4511,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,18,Sat,2019-12-07,17:30,Lech Poznań,2–0,Łódzki KS,9830,INEA stadion,Daniel Stefański,Match Report,
Regular Season,18,Sat,2019-12-07,20:00,Lechia Gdańsk,2–0,Wisła Płock,7021,Stadion Energa Gdańsk,Łukasz Szczech,Match Report,
Regular Season,18,Sun,2019-12-08,12:30,Cracovia,3–0,RKS Raków,7238,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,18,Sun,2019-12-08,15:00,Pogoń Szczecin,1–0,Piast Gliwice,3486,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,18,Sun,2019-12-08,17:30,Śląsk Wrocław,0–3,Legia Warsaw,31819,Stadion Miejski,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2019-12-13,18:00,Arka Gdynia,2–1,Zagłębie Lubin,3820,Stadion GOSiR,Łukasz Szczech,Match Report,
Regular Season,19,Fri,2019-12-13,20:30,Wisła Kraków,1–0,Pogoń Szczecin,10253,Stadion Miejski im. Henryka Reymana,Zbigniew Dobrynin,Match Report,
Regular Season,19,Sat,2019-12-14,15:00,RKS Raków,2–1,Górnik Zabrze,2275,Stadion Raków,Szymon Marciniak,Match Report,
Regular Season,19,Sat,2019-12-14,17:30,Śląsk Wrocław,1–1,Lech Poznań,,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,19,Sat,2019-12-14,20:00,Legia Warsaw,3–1,Wisła Płock,20485,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,19,Sun,2019-12-15,12:30,Piast Gliwice,2–1,Łódzki KS,3892,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,19,Sun,2019-12-15,15:00,Korona Kielce,1–0,Cracovia,4728,Kolporter Arena,Wojciech Myć,Match Report,
Regular Season,19,Sun,2019-12-15,17:30,Jagiellonia,3–0,Lechia Gdańsk,5973,Stadion Miejski,Mariusz Zlotek,Match Report,
,,,,,,,,,,,,
Regular Season,20,Thu,2019-12-19,18:00,Łódzki KS,2–4,Wisła Kraków,4852,Stadion ŁKS-u,Paweł Raczkowski,Match Report,
Regular Season,20,Thu,2019-12-19,20:30,Lech Poznań,1–1,Arka Gdynia,7641,INEA stadion,Krzysztof Jakubik,Match Report,
Regular Season,20,Fri,2019-12-20,18:00,Cracovia,2–0,Śląsk Wrocław,7836,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,20,Fri,2019-12-20,18:00,Pogoń Szczecin,0–1,Korona Kielce,3656,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
Regular Season,20,Fri,2019-12-20,20:30,Zagłębie Lubin,2–1,Legia Warsaw,6063,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,20,Sat,2019-12-21,15:00,Lechia Gdańsk,0–3,RKS Raków,7843,Stadion Energa Gdańsk,Piotr Lasyk,Match Report,
Regular Season,20,Sat,2019-12-21,17:30,Wisła Płock,2–1,Piast Gliwice,2318,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,20,Sat,2019-12-21,20:00,Górnik Zabrze,3–0,Jagiellonia,10025,Arena Zabrze,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2020-02-07,18:00,Arka Gdynia,0–1,Cracovia,6815,Stadion GOSiR,Mariusz Zlotek,Match Report,
Regular Season,21,Fri,2020-02-07,20:30,Śląsk Wrocław,2–2,Lechia Gdańsk,10201,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,21,Sat,2020-02-08,15:00,Korona Kielce,0–0,Górnik Zabrze,7109,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
Regular Season,21,Sat,2020-02-08,17:30,Lech Poznań,3–0,RKS Raków,10872,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,21,Sat,2020-02-08,20:00,Wisła Kraków,3–0,Jagiellonia,15420,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
Regular Season,21,Sun,2020-02-09,12:30,Wisła Płock,2–3,Pogoń Szczecin,4231,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,21,Sun,2020-02-09,15:00,Piast Gliwice,2–0,Zagłębie Lubin,4112,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,21,Sun,2020-02-09,17:30,Legia Warsaw,3–1,Łódzki KS,23898,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,22,Fri,2020-02-14,18:00,Górnik Zabrze,2–0,Arka Gdynia,9456,Arena Zabrze,Szymon Marciniak,Match Report,
Regular Season,22,Fri,2020-02-14,20:30,Lechia Gdańsk,1–0,Piast Gliwice,7139,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,22,Sat,2020-02-15,15:00,Łódzki KS,0–0,Wisła Płock,5160,Stadion ŁKS-u,Jarosław Przybył,Match Report,
Regular Season,22,Sat,2020-02-15,17:30,Pogoń Szczecin,0–0,Śląsk Wrocław,3858,Stadion Miejski im. Floriana Krygiera,Łukasz Szczech,Match Report,
Regular Season,22,Sat,2020-02-15,20:00,RKS Raków,2–2,Legia Warsaw,4153,Stadion Raków,Piotr Lasyk,Match Report,
Regular Season,22,Sun,2020-02-16,12:30,Jagiellonia,0–0,Korona Kielce,7518,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,22,Sun,2020-02-16,15:00,Zagłębie Lubin,0–1,Wisła Kraków,4349,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
Regular Season,22,Sun,2020-02-16,17:30,Cracovia,2–1,Lech Poznań,12247,Stadion Cracovii,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
