Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2015-07-17,18:00,Wisła Kraków,1–1,Górnik Zabrze,10303,Stadion Miejski im. Henryka Reymana,Marcin Borski,Match Report,
Regular Season,1,Fri,2015-07-17,20:30,Lechia Gdańsk,0–1,Cracovia,13143,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,1,Sat,2015-07-18,15:30,Ruch Chorzów,0–2,Górnik Łęczna,4785,Stadion Miejski ul. Cicha,Mariusz Złotek,Match Report,
Regular Season,1,Sat,2015-07-18,18:00,Zagłębie Lubin,1–1,Podbeskidzie,4835,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Regular Season,1,Sat,2015-07-18,20:30,Lech Poznań,1–2,Pogoń Szczecin,15331,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,1,Sun,2015-07-19,15:30,Korona Kielce,3–2,Jagiellonia,6939,Kolporter Arena,Jarosław Przybył,Match Report,
Regular Season,1,Sun,2015-07-19,18:00,Śląsk Wrocław,1–4,Legia Warsaw,12662,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,1,Mon,2015-07-20,18:00,Piast Gliwice,1–0,Nieciecza,4085,Stadion Miejski,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2015-07-24,18:00,Ruch Chorzów,2–0,Piast Gliwice,6125,Stadion Miejski ul. Cicha,Tomasz Kwiatkowski,Match Report,
Regular Season,2,Fri,2015-07-24,20:30,Cracovia,1–1,Wisła Kraków,12933,Stadion Cracovii,Krzysztof Jakubik,Match Report,
Regular Season,2,Sat,2015-07-25,18:00,Zagłębie Lubin,0–2,Korona Kielce,4219,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,2,Sat,2015-07-25,20:30,Lech Poznań,2–1,Lechia Gdańsk,13821,INEA stadion,Daniel Stefański,Match Report,
Regular Season,2,Sun,2015-07-26,15:30,Jagiellonia,2–0,Nieciecza,10653,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,2,Sun,2015-07-26,15:30,Pogoń Szczecin,1–1,Śląsk Wrocław,8658,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
Regular Season,2,Sun,2015-07-26,18:00,Legia Warsaw,5–0,Podbeskidzie,13082,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,2,Mon,2015-07-27,18:00,Górnik Łęczna,2–1,Górnik Zabrze,3824,Stadion Górnik,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2015-07-31,18:00,Piast Gliwice,3–2,Górnik Zabrze,7005,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,3,Fri,2015-07-31,20:30,Lechia Gdańsk,1–1,Pogoń Szczecin,11173,Stadion Energa Gdańsk,Paweł Raczkowski,Match Report,
Regular Season,3,Sat,2015-08-01,18:00,Podbeskidzie,0–1,Cracovia,4921,Stadion Miejski BKS Stal,Mariusz Złotek,Match Report,
Regular Season,3,Sat,2015-08-01,20:30,Wisła Kraków,2–0,Lech Poznań,13623,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,3,Sun,2015-08-02,15:30,Śląsk Wrocław,2–0,Nieciecza,6963,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,3,Sun,2015-08-02,15:30,Jagiellonia,1–2,Zagłębie Lubin,11055,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,3,Sun,2015-08-02,18:00,Górnik Łęczna,0–2,Legia Warsaw,7437,Stadion Górnik,Tomasz Musiał,Match Report,
Regular Season,3,Mon,2015-08-03,18:00,Korona Kielce,1–2,Ruch Chorzów,8251,Kolporter Arena,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2015-08-07,18:00,Cracovia,1–2,Piast Gliwice,7416,Stadion Cracovii,Zbigniew Dobrynin,Match Report,
Regular Season,4,Fri,2015-08-07,20:30,Nieciecza,1–0,Zagłębie Lubin,3209,Stadion MOSiR,Tomasz Musiał,Match Report,
Regular Season,4,Sat,2015-08-08,15:30,Górnik Zabrze,1–3,Jagiellonia,5521,Stadion im. Ernesta Pohla,Szymon Marciniak,Match Report,
Regular Season,4,Sat,2015-08-08,18:00,Pogoń Szczecin,0–0,Górnik Łęczna,6328,Stadion Miejski im. Floriana Krygiera,Mariusz Złotek,Match Report,
Regular Season,4,Sat,2015-08-08,20:30,Lech Poznań,0–0,Korona Kielce,13134,INEA stadion,Krzysztof Jakubik,Match Report,
Regular Season,4,Sun,2015-08-09,15:30,Śląsk Wrocław,0–0,Lechia Gdańsk,7939,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,4,Sun,2015-08-09,18:00,Legia Warsaw,1–1,Wisła Kraków,26141,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,4,Mon,2015-08-10,18:00,Ruch Chorzów,1–1,Podbeskidzie,7431,Stadion Miejski ul. Cicha,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2015-08-14,18:00,Korona Kielce,0–3,Cracovia,8368,Kolporter Arena,Daniel Stefański,Match Report,
Regular Season,5,Fri,2015-08-14,20:30,Zagłębie Lubin,2–1,Lech Poznań,10217,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,5,Sat,2015-08-15,15:30,Nieciecza,3–0,Górnik Zabrze,5883,Stadion MOSiR,Paweł Gil,Match Report,
Regular Season,5,Sat,2015-08-15,18:00,Górnik Łęczna,2–3,Śląsk Wrocław,3562,Stadion Górnik,Krzysztof Jakubik,Match Report,
Regular Season,5,Sat,2015-08-15,20:30,Piast Gliwice,2–1,Legia Warsaw,7310,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,5,Sun,2015-08-16,15:30,Jagiellonia,2–1,Ruch Chorzów,12758,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,5,Sun,2015-08-16,18:00,Wisła Kraków,3–3,Lechia Gdańsk,11115,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,5,Mon,2015-08-17,18:00,Podbeskidzie,2–3,Pogoń Szczecin,4770,Stadion Miejski BKS Stal,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2015-08-21,18:00,Pogoń Szczecin,1–1,Wisła Kraków,8897,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
Regular Season,6,Fri,2015-08-21,20:30,Lechia Gdańsk,3–1,Górnik Łęczna,12193,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,6,Sat,2015-08-22,15:30,Ruch Chorzów,4–1,Nieciecza,7023,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,6,Sat,2015-08-22,18:00,Śląsk Wrocław,1–1,Podbeskidzie,6742,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,6,Sat,2015-08-22,20:30,Cracovia,1–1,Jagiellonia,8125,Stadion Cracovii,Mariusz Złotek,Match Report,
Regular Season,6,Sun,2015-08-23,15:30,Lech Poznań,0–1,Piast Gliwice,17456,INEA stadion,Bartosz Frankowski,Match Report,
Regular Season,6,Sun,2015-08-23,18:00,Legia Warsaw,1–2,Korona Kielce,16381,Stadion Miejski Legii Warszawa im. Marsz...,Piotr Lasyk,Match Report,
Regular Season,6,Mon,2015-08-24,18:00,Górnik Zabrze,2–2,Zagłębie Lubin,4950,Stadion im. Ernesta Pohla,Sebastian Krasny,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2015-08-28,18:00,Podbeskidzie,1–1,Lechia Gdańsk,5035,Stadion Miejski BKS Stal,Paweł Gil,Match Report,
Regular Season,7,Fri,2015-08-28,20:30,Wisła Kraków,4–2,Śląsk Wrocław,11503,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,7,Sat,2015-08-29,15:30,Piast Gliwice,3–0,Górnik Łęczna,5359,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,7,Sat,2015-08-29,18:00,Zagłębie Lubin,3–1,Ruch Chorzów,6065,Stadion Zagłębia Lubin,Szymon Marciniak,Match Report,
Regular Season,7,Sat,2015-08-29,20:30,Korona Kielce,1–1,Pogoń Szczecin,7096,Kolporter Arena,Mariusz Złotek,Match Report,
Regular Season,7,Sun,2015-08-30,15:30,Górnik Zabrze,1–1,Cracovia,5520,Stadion im. Ernesta Pohla,Paweł Raczkowski,Match Report,
Regular Season,7,Sun,2015-08-30,15:30,Nieciecza,3–1,Lech Poznań,4950,Stadion MOSiR,Krzysztof Jakubik,Match Report,
Regular Season,7,Sun,2015-08-30,18:00,Jagiellonia,1–1,Legia Warsaw,22172,Stadion Miejski,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2015-09-11,18:00,Lechia Gdańsk,0–0,Korona Kielce,11170,Stadion Energa Gdańsk,Daniel Stefański,Match Report,
Regular Season,8,Fri,2015-09-11,20:30,Legia Warsaw,2–2,Zagłębie Lubin,14798,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,8,Sat,2015-09-12,15:30,Śląsk Wrocław,3–1,Jagiellonia,7419,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,8,Sat,2015-09-12,18:00,Cracovia,2–3,Nieciecza,7425,Stadion Cracovii,Bartosz Frankowski,Match Report,
Regular Season,8,Sat,2015-09-12,20:30,Lech Poznań,0–1,Podbeskidzie,11902,INEA stadion,Paweł Gil,Match Report,
Regular Season,8,Sun,2015-09-13,15:30,Pogoń Szczecin,3–1,Piast Gliwice,8811,Stadion Miejski im. Floriana Krygiera,Marcin Borski,Match Report,
Regular Season,8,Sun,2015-09-13,18:00,Ruch Chorzów,1–0,Górnik Zabrze,8300,Stadion Miejski ul. Cicha,Tomasz Musiał,Match Report,
Regular Season,8,Mon,2015-09-14,18:00,Górnik Łęczna,1–0,Wisła Kraków,5311,Stadion Górnik,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2015-09-18,18:00,Górnik Zabrze,2–0,Śląsk Wrocław,5125,Stadion im. Ernesta Pohla,Daniel Stefański,Match Report,
Regular Season,9,Fri,2015-09-18,20:30,Zagłębie Lubin,4–2,Cracovia,6258,Stadion Zagłębia Lubin,Marcin Borski,Match Report,
