Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,2020-10-17,15:00,Cracovia,1–0,Piast Gliwice,,Stadion Cracovii,Paweł Raczkowski,Match Report,
7,Sat,2020-10-17,17:30,Górnik Zabrze,1–3,RKS Raków,,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
7,Sat,2020-10-17,20:00,Jagiellonia,2–1,Lech Poznań,,Stadion Miejski,Jarosław Przybył,Match Report,
7,Sun,2020-10-18,12:30,Wisła Płock,1–0,Śląsk Wrocław,,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
7,Sun,2020-10-18,15:00,Stal Mielec,0–6,Wisła Kraków,,Stadion MOSiR,Dominik Sulikowski,Match Report,
7,Sun,2020-10-18,17:30,Legia Warsaw,2–1,Zagłębie Lubin,,Stadion Miejski Legii Warszawa im. Marsz...,Piotr Lasyk,Match Report,
7,Mon,2020-10-19,18:00,Podbeskidzie,1–2,Warta Poznań,,Stadion Miejski BKS Stal,Krzysztof Jakubik,Match Report,
7,Mon,2020-10-19,20:30,Lechia Gdańsk,0–1,Pogoń Szczecin,,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
,,,,,,,,,,,
5,Wed,2020-10-21,18:00,Legia Warsaw,2–1,Śląsk Wrocław,,Stadion Miejski Legii Warszawa im. Marsz...,Sebastian Jarzębak,Match Report,
,,,,,,,,,,,
8,Fri,2020-10-23,18:00,Piast Gliwice,2–2,Wisła Płock,,Stadion Miejski,Zbigniew Dobrynin,Match Report,
8,Fri,2020-10-23,20:30,Zagłębie Lubin,1–1,Lechia Gdańsk,,Stadion Zagłębia Lubin,Wojciech Myć,Match Report,
8,Sat,2020-10-24,15:00,Wisła Kraków,3–0,Podbeskidzie,,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
8,Sat,2020-10-24,17:30,Śląsk Wrocław,1–0,Jagiellonia,,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
8,Sat,2020-10-24,20:00,Pogoń Szczecin,0–0,Legia Warsaw,,Stadion Miejski im. Floriana Krygiera,Szymon Marciniak,Match Report,
8,Sun,2020-10-25,15:00,RKS Raków,2–1,Stal Mielec,,Stadion GKS-u,Artur Aluszyk,Match Report,
8,Sun,2020-10-25,17:30,Lech Poznań,1–1,Cracovia,,INEA stadion,Krzysztof Jakubik,Match Report,
8,Mon,2020-10-26,18:00,Warta Poznań,0–1,Górnik Zabrze,,Stadion Groclinu Dyskobolii,Łukasz Szczech,Match Report,
,,,,,,,,,,,
6,Wed,2020-10-28,18:00,Wisła Kraków,1–3,Lechia Gdańsk,,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
6,Fri,2020-10-30,18:00,Pogoń Szczecin,3–0,Jagiellonia,,Stadion Miejski im. Floriana Krygiera,Damian Sylwestrzak,Match Report,
6,Mon,2020-11-02,18:00,Warta Poznań,0–3,Legia Warsaw,,Stadion Groclinu Dyskobolii,Paweł Gil,Match Report,
,,,,,,,,,,,
9,Sat,2020-11-07,15:00,Stal Mielec,0–1,Warta Poznań,,Stadion MOSiR,Sebastian Jarzębak,Match Report,
9,Sat,2020-11-07,17:30,Cracovia,3–1,Jagiellonia,,Stadion Cracovii,Paweł Gil,Match Report,
,,,,,,,,,,,
