Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
24,Mon,2021-04-12,18:00,Piast Gliwice,2–0,Górnik Zabrze,,Stadion Miejski,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,
25,Fri,2021-04-16,18:00,Podbeskidzie,0–2,Pogoń Szczecin,,Stadion Miejski BKS Stal,Łukasz Szczech,Match Report,
25,Fri,2021-04-16,20:30,Górnik Zabrze,1–1,Śląsk Wrocław,,Arena Zabrze,Szymon Marciniak,Match Report,
25,Sat,2021-04-17,15:00,Lechia Gdańsk,2–2,Piast Gliwice,,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
25,Sat,2021-04-17,17:30,RKS Raków,3–1,Lech Poznań,,Stadion GKS-u,Daniel Stefański,Match Report,
25,Sat,2021-04-17,20:00,Wisła Kraków,0–1,Warta Poznań,,Stadion Miejski im. Henryka Reymana,Wojciech Myć,Match Report,
25,Sun,2021-04-18,12:30,Stal Mielec,0–2,Zagłębie Lubin,,Stadion MOSiR,Paweł Raczkowski,Match Report,
25,Sun,2021-04-18,15:00,Wisła Płock,2–2,Jagiellonia,,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
25,Sun,2021-04-18,17:30,Legia Warsaw,0–0,Cracovia,,Stadion Miejski Legii Warszawa im. Marsz...,Damian Sylwestrzak,Match Report,
,,,,,,,,,,,
26,Tue,2021-04-20,18:00,Warta Poznań,0–2,RKS Raków,,Stadion Groclinu Dyskobolii,Krzysztof Jakubik,Match Report,
26,Tue,2021-04-20,18:00,Pogoń Szczecin,1–0,Górnik Zabrze,,Stadion Miejski im. Floriana Krygiera,Zbigniew Dobrynin,Match Report,
26,Tue,2021-04-20,20:30,Lech Poznań,3–0,Lechia Gdańsk,,INEA stadion,Paweł Gil,Match Report,
26,Tue,2021-04-20,20:30,Śląsk Wrocław,4–3,Podbeskidzie,,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
26,Wed,2021-04-21,18:00,Jagiellonia,3–3,Stal Mielec,,Stadion Miejski,Szymon Marciniak,Match Report,
26,Wed,2021-04-21,18:00,Zagłębie Lubin,4–1,Wisła Kraków,,Stadion Zagłębia Lubin,Łukasz Kuźma,Match Report,
26,Wed,2021-04-21,20:30,Cracovia,1–0,Wisła Płock,,Stadion Cracovii,Piotr Lasyk,Match Report,
26,Wed,2021-04-21,20:30,Piast Gliwice,0–1,Legia Warsaw,,Stadion Miejski,Damian Kos,Match Report,
,,,,,,,,,,,
27,Fri,2021-04-23,18:00,RKS Raków,2–0,Śląsk Wrocław,,Stadion GKS-u,Paweł Raczkowski,Match Report,
27,Fri,2021-04-23,20:30,Podbeskidzie,1–0,Lech Poznań,,Stadion Miejski BKS Stal,Krzysztof Jakubik,Match Report,
27,Sat,2021-04-24,15:00,Górnik Zabrze,0–2,Wisła Płock,,Arena Zabrze,Damian Sylwestrzak,Match Report,
27,Sat,2021-04-24,17:30,Zagłębie Lubin,2–2,Piast Gliwice,,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
27,Sat,2021-04-24,20:00,Wisła Kraków,0–0,Cracovia,,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
27,Sun,2021-04-25,12:30,Warta Poznań,2–0,Jagiellonia,,Stadion Groclinu Dyskobolii,Daniel Stefański,Match Report,
27,Sun,2021-04-25,15:00,Stal Mielec,1–0,Pogoń Szczecin,,Stadion MOSiR,Paweł Gil,Match Report,
27,Sun,2021-04-25,17:30,Lechia Gdańsk,0–1,Legia Warsaw,,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
,,,,,,,,,,,
28,Wed,2021-04-28,19:00,Jagiellonia,0–0,RKS Raków,,Stadion Miejski,Bartosz Frankowski,Match Report,
28,Fri,2021-04-30,18:00,Wisła Płock,1–3,Lechia Gdańsk,,Stadion im. Kazimierza Górskiego,Łukasz Szczech,Match Report,
28,Fri,2021-04-30,20:30,Śląsk Wrocław,0–0,Zagłębie Lubin,,Stadion Miejski,Mariusz Zlotek,Match Report,
28,Sat,2021-05-01,15:00,Legia Warsaw,0–0,Wisła Kraków,,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
28,Sat,2021-05-01,17:30,Pogoń Szczecin,1–1,Warta Poznań,,Stadion Miejski im. Floriana Krygiera,Daniel Stefański,Match Report,
28,Sat,2021-05-01,20:00,Lech Poznań,1–2,Stal Mielec,,INEA stadion,Jarosław Przybył,Match Report,
28,Mon,2021-05-03,15:00,Piast Gliwice,2–0,Podbeskidzie,,Stadion Miejski,Krzysztof Jakubik,Match Report,
28,Mon,2021-05-03,17:30,Cracovia,1–0,Górnik Zabrze,,Stadion Cracovii,Damian Kos,Match Report,
,,,,,,,,,,,
23,Wed,2021-05-05,19:00,Stal Mielec,0–1,RKS Raków,,Stadion MOSiR,Wojciech Myć,Match Report,
,,,,,,,,,,,
29,Fri,2021-05-07,18:00,Górnik Zabrze,3–1,Jagiellonia,,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
29,Fri,2021-05-07,20:30,Zagłębie Lubin,1–1,Pogoń Szczecin,,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
29,Sat,2021-05-08,15:00,Podbeskidzie,1–1,Wisła Płock,,Stadion Miejski BKS Stal,Jarosław Przybył,Match Report,
29,Sat,2021-05-08,17:30,Lechia Gdańsk,1–1,Cracovia,,Stadion Energa Gdańsk,Paweł Raczkowski,Match Report,
29,Sat,2021-05-08,20:00,Wisła Kraków,1–2,Lech Poznań,,Stadion Miejski im. Henryka Reymana,Sebastian Jarzębak,Match Report,
29,Sun,2021-05-09,15:00,Warta Poznań,2–3,Śląsk Wrocław,,Stadion Groclinu Dyskobolii,Paweł Gil,Match Report,
29,Sun,2021-05-09,17:30,Stal Mielec,0–0,Legia Warsaw,,Stadion MOSiR,Łukasz Kuźma,Match Report,
29,Mon,2021-05-10,18:00,RKS Raków,1–0,Piast Gliwice,,Stadion GKS-u,Daniel Stefański,Match Report,
,,,,,,,,,,,
30,Sun,2021-05-16,17:30,Wisła Płock,4–0,Zagłębie Lubin,,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
30,Sun,2021-05-16,17:30,Jagiellonia,2–1,Lechia Gdańsk,,Stadion Miejski,Krzysztof Jakubik,Match Report,
30,Sun,2021-05-16,17:30,Pogoń Szczecin,1–3,RKS Raków,,Stadion Miejski im. Floriana Krygiera,Sebastian Krasny,Match Report,
30,Sun,2021-05-16,17:30,Cracovia,0–1,Warta Poznań,3670,Stadion Cracovii,Pawel Malec,Match Report,
30,Sun,2021-05-16,17:30,Lech Poznań,1–1,Górnik Zabrze,4890,INEA stadion,Artur Aluszyk,Match Report,
30,Sun,2021-05-16,17:30,Legia Warsaw,1–0,Podbeskidzie,,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
30,Sun,2021-05-16,17:30,Śląsk Wrocław,1–1,Stal Mielec,,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
30,Sun,2021-05-16,17:30,Piast Gliwice,2–3,Wisła Kraków,,Stadion Miejski,Mariusz Zlotek,Match Report,
