Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,3,Mon,2018-08-06,18:00,Cracovia,0–0,Arka Gdynia,5283,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2018-08-10,18:00,Lechia Gdańsk,2–0,Miedź,11053,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,4,Fri,2018-08-10,20:30,Wisła Kraków,1–1,Wisła Płock,11025,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
Regular Season,4,Sat,2018-08-11,18:00,Pogoń Szczecin,1–1,Cracovia,6592,Stadion Miejski im. Floriana Krygiera,Dominik Sulikowski,Match Report,
Regular Season,4,Sat,2018-08-11,20:30,Arka Gdynia,1–1,Górnik Zabrze,7123,Stadion GOSiR,Jarosław Przybył,Match Report,
Regular Season,4,Sun,2018-08-12,15:30,Piast Gliwice,1–3,Legia Warsaw,7120,Stadion Miejski,Mariusz Zlotek,Match Report,
Regular Season,4,Sun,2018-08-12,18:00,Lech Poznań,4–0,Zag Sosnowiec,,INEA stadion,Wojciech Myć,Match Report,
Regular Season,4,Sun,2018-08-12,18:00,Zagłębie Lubin,0–2,Jagiellonia,7086,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
Regular Season,4,Mon,2018-08-13,18:00,Korona Kielce,2–1,Śląsk Wrocław,7243,Kolporter Arena,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2018-08-17,18:00,Cracovia,0–1,Zagłębie Lubin,4097,Stadion Miejski Legii Warszawa im. Marsz...,Łukasz Szczech,Match Report,
Regular Season,5,Fri,2018-08-17,20:30,Miedź,1–1,Korona Kielce,5082,Stadion im. Orła Białego,Jarosław Przybył,Match Report,
Regular Season,5,Sat,2018-08-18,18:00,Wisła Płock,1–3,Arka Gdynia,4082,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
Regular Season,5,Sat,2018-08-18,20:30,Górnik Zabrze,0–2,Lechia Gdańsk,14087,Arena Zabrze,Krzysztof Jakubik,Match Report,
Regular Season,5,Sun,2018-08-19,15:30,Legia Warsaw,2–1,Zag Sosnowiec,16116,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,5,Sun,2018-08-19,18:00,Jagiellonia,2–1,Piast Gliwice,10664,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,5,Sun,2018-08-19,18:00,Lech Poznań,2–5,Wisła Kraków,13141,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,5,Mon,2018-08-20,18:00,Śląsk Wrocław,0–0,Pogoń Szczecin,7888,Stadion Miejski,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2018-08-24,18:00,Piast Gliwice,3–1,Cracovia,4075,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,6,Fri,2018-08-24,20:30,Korona Kielce,2–1,Arka Gdynia,7534,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,6,Sat,2018-08-25,18:00,Pogoń Szczecin,2–3,Lechia Gdańsk,4699,Stadion Miejski im. Floriana Krygiera,Mariusz Zlotek,Match Report,
Regular Season,6,Sat,2018-08-25,20:30,Wisła Kraków,3–0,Górnik Zabrze,16482,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,6,Sun,2018-08-26,15:30,Legia Warsaw,1–4,Wisła Płock,15860,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,6,Sun,2018-08-26,15:30,Jagiellonia,2–3,Miedź,11123,Stadion Miejski,Piotr Lasyk,Match Report,
Regular Season,6,Sun,2018-08-26,18:00,Zagłębie Lubin,2–1,Lech Poznań,9107,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
Regular Season,6,Mon,2018-08-27,18:00,Zag Sosnowiec,3–3,Śląsk Wrocław,3900,Stadion Ludowy,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2018-08-31,18:00,Górnik Zabrze,1–1,Pogoń Szczecin,11261,Arena Zabrze,Wojciech Myć,Match Report,
Regular Season,7,Fri,2018-08-31,20:30,Lechia Gdańsk,2–0,Korona Kielce,13872,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,7,Sat,2018-09-01,15:30,Arka Gdynia,2–2,Zag Sosnowiec,9018,Stadion GOSiR,Krzysztof Jakubik,Match Report,
Regular Season,7,Sat,2018-09-01,18:00,Śląsk Wrocław,0–1,Wisła Kraków,10033,Stadion Miejski,Zbigniew Dobrynin,Match Report,
Regular Season,7,Sat,2018-09-01,20:30,Lech Poznań,1–1,Piast Gliwice,8139,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,7,Sun,2018-09-02,15:30,Miedź,2–0,Zagłębie Lubin,5868,Stadion im. Orła Białego,Daniel Stefański,Match Report,
Regular Season,7,Sun,2018-09-02,15:30,Wisła Płock,1–1,Jagiellonia,6211,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
Regular Season,7,Sun,2018-09-02,18:00,Cracovia,0–0,Legia Warsaw,8123,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2018-09-14,18:00,Zagłębie Lubin,4–0,Śląsk Wrocław,6107,Stadion Zagłębia Lubin,Szymon Marciniak,Match Report,
Regular Season,8,Fri,2018-09-14,20:30,Jagiellonia,3–1,Cracovia,9510,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,8,Sat,2018-09-15,15:30,Wisła Płock,2–2,Miedź,3892,Stadion im. Kazimierza Górskiego,Tomasz Musiał,Match Report,
Regular Season,8,Sat,2018-09-15,18:00,Piast Gliwice,1–0,Arka Gdynia,4003,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,8,Sat,2018-09-15,20:30,Wisła Kraków,5–2,Lechia Gdańsk,23052,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,8,Sun,2018-09-16,15:30,Pogoń Szczecin,1–1,Korona Kielce,6361,Stadion Miejski im. Floriana Krygiera,Piotr Lasyk,Match Report,
Regular Season,8,Sun,2018-09-16,18:00,Legia Warsaw,1–0,Lech Poznań,26264,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,8,Mon,2018-09-17,18:00,Zag Sosnowiec,1–1,Górnik Zabrze,4824,Stadion Ludowy,Mariusz Zlotek,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2018-09-21,18:00,Pogoń Szczecin,2–1,Wisła Kraków,3750,Stadion Miejski im. Floriana Krygiera,Łukasz Szczech,Match Report,
Regular Season,9,Fri,2018-09-21,20:30,Arka Gdynia,1–0,Lech Poznań,9501,Stadion GOSiR,Wojciech Myć,Match Report,
Regular Season,9,Sat,2018-09-22,15:30,Cracovia,3–1,Wisła Płock,4121,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Zlotek,Match Report,
Regular Season,9,Sat,2018-09-22,18:00,Lechia Gdańsk,3–3,Zagłębie Lubin,11371,Stadion Energa Gdańsk,Jarosław Przybył,Match Report,
Regular Season,9,Sat,2018-09-22,20:30,Miedź,1–4,Legia Warsaw,5875,Stadion im. Orła Białego,Tomasz Musiał,Match Report,
Regular Season,9,Sun,2018-09-23,15:30,Śląsk Wrocław,4–1,Piast Gliwice,7613,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,9,Sun,2018-09-23,18:00,Górnik Zabrze,1–3,Jagiellonia,11963,Arena Zabrze,Bartosz Frankowski,Match Report,
Regular Season,9,Mon,2018-09-24,18:00,Korona Kielce,3–1,Zag Sosnowiec,6000,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2018-09-28,18:00,Wisła Płock,1–0,Lechia Gdańsk,3123,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
Regular Season,10,Fri,2018-09-28,20:30,Legia Warsaw,1–1,Arka Gdynia,14849,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,10,Sat,2018-09-29,15:30,Piast Gliwice,1–0,Górnik Zabrze,5313,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,10,Sat,2018-09-29,18:00,Zagłębie Lubin,0–2,Pogoń Szczecin,3106,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
Regular Season,10,Sat,2018-09-29,20:30,Wisła Kraków,0–1,Korona Kielce,11104,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
Regular Season,10,Sun,2018-09-30,15:30,Zag Sosnowiec,1–1,Cracovia,3859,Stadion Ludowy,Bartosz Frankowski,Match Report,
Regular Season,10,Sun,2018-09-30,18:00,Lech Poznań,2–1,Miedź,20846,INEA stadion,Jarosław Przybył,Match Report,
Regular Season,10,Mon,2018-10-01,18:00,Jagiellonia,0–4,Śląsk Wrocław,8396,Stadion Miejski,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2018-10-05,18:00,Miedź,2–2,Piast Gliwice,5223,Stadion im. Orła Białego,Dominik Sulikowski,Match Report,
Regular Season,11,Fri,2018-10-05,20:30,Górnik Zabrze,2–2,Lech Poznań,11764,Arena Zabrze,Tomasz Kwiatkowski,Match Report,
Regular Season,11,Sat,2018-10-06,15:30,Pogoń Szczecin,4–0,Wisła Płock,5514,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
Regular Season,11,Sat,2018-10-06,18:00,Lechia Gdańsk,4–1,Zag Sosnowiec,10023,Stadion Energa Gdańsk,Daniel Stefański,Match Report,
Regular Season,11,Sat,2018-10-06,20:30,Śląsk Wrocław,0–1,Legia Warsaw,20087,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,11,Sun,2018-10-07,15:30,Arka Gdynia,3–1,Zagłębie Lubin,7776,Stadion GOSiR,Szymon Marciniak,Match Report,
Regular Season,11,Sun,2018-10-07,15:30,Korona Kielce,1–1,Jagiellonia,8244,Kolporter Arena,Paweł Gil,Match Report,
Regular Season,11,Sun,2018-10-07,18:00,Cracovia,0–2,Wisła Kraków,5123,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2018-10-19,18:00,Piast Gliwice,1–1,Lechia Gdańsk,3853,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,12,Fri,2018-10-19,20:30,Jagiellonia,2–1,Pogoń Szczecin,7622,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,12,Sat,2018-10-20,15:30,Zag Sosnowiec,3–1,Miedź,2644,Stadion Ludowy,Zbigniew Dobrynin,Match Report,
Regular Season,12,Sat,2018-10-20,18:00,Śląsk Wrocław,1–2,Arka Gdynia,9195,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,12,Sat,2018-10-20,20:30,Lech Poznań,2–1,Korona Kielce,9487,INEA stadion,Tomasz Musiał,Match Report,
Regular Season,12,Sun,2018-10-21,15:30,Zagłębie Lubin,3–3,Wisła Płock,3122,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Regular Season,12,Sun,2018-10-21,18:00,Legia Warsaw,3–3,Wisła Kraków,26363,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,12,Mon,2018-10-22,18:00,Cracovia,2–0,Górnik Zabrze,4078,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2018-10-26,18:00,Miedź,0–5,Śląsk Wrocław,5934,Stadion im. Orła Białego,Wojciech Myć,Match Report,
Regular Season,13,Fri,2018-10-26,20:30,Jagiellonia,1–1,Legia Warsaw,16862,Stadion Miejski,Mariusz Zlotek,Match Report,
Regular Season,13,Sat,2018-10-27,15:30,Wisła Płock,1–1,Piast Gliwice,2412,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,13,Sat,2018-10-27,18:00,Lechia Gdańsk,2–1,Arka Gdynia,25066,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,13,Sat,2018-10-27,20:30,Pogoń Szczecin,3–0,Lech Poznań,8680,Stadion Miejski im. Floriana Krygiera,Paweł Gil,Match Report,
Regular Season,13,Sun,2018-10-28,15:30,Korona Kielce,0–1,Cracovia,5929,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,13,Sun,2018-10-28,18:00,Górnik Zabrze,2–0,Zagłębie Lubin,7241,Arena Zabrze,Dominik Sulikowski,Match Report,
Regular Season,13,Mon,2018-10-29,18:00,Wisła Kraków,2–2,Zag Sosnowiec,11243,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2018-11-02,18:00,Arka Gdynia,2–3,Pogoń Szczecin,7056,Stadion GOSiR,Tomasz Musiał,Match Report,
Regular Season,14,Fri,2018-11-02,20:30,Piast Gliwice,2–0,Wisła Kraków,4101,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,14,Sat,2018-11-03,15:30,Cracovia,0–0,Miedź,4239,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,14,Sat,2018-11-03,18:00,Śląsk Wrocław,0–3,Wisła Płock,6364,Stadion Miejski,Zbigniew Dobrynin,Match Report,
Regular Season,14,Sat,2018-11-03,20:30,Legia Warsaw,4–0,Górnik Zabrze,21867,Stadion Miejski Legii Warszawa im. Marsz...,Wojciech Myć,Match Report,
Regular Season,14,Sun,2018-11-04,15:30,Zagłębie Lubin,0–1,Korona Kielce,3063,Stadion Zagłębia Lubin,Paweł Raczkowski,Match Report,
Regular Season,14,Sun,2018-11-04,18:00,Lech Poznań,0–1,Lechia Gdańsk,8059,INEA stadion,Daniel Stefański,Match Report,
Regular Season,14,Mon,2018-11-05,18:00,Zag Sosnowiec,1–4,Jagiellonia,3112,Stadion Ludowy,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2018-11-09,18:00,Górnik Zabrze,2–2,Śląsk Wrocław,7917,Arena Zabrze,Paweł Raczkowski,Match Report,
Regular Season,15,Fri,2018-11-09,20:30,Pogoń Szczecin,2–1,Legia Warsaw,13564,Stadion Miejski im. Floriana Krygiera,Daniel Stefański,Match Report,
Regular Season,15,Sat,2018-11-10,15:30,Wisła Płock,2–0,Zag Sosnowiec,5511,Stadion im. Kazimierza Górskiego,Dominik Sulikowski,Match Report,
Regular Season,15,Sat,2018-11-10,18:00,Lechia Gdańsk,1–0,Cracovia,17089,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,15,Sat,2018-11-10,20:30,Wisła Kraków,3–2,Zagłębie Lubin,10038,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,15,Sun,2018-11-11,15:30,Miedź,0–4,Arka Gdynia,4726,Stadion im. Orła Białego,Piotr Lasyk,Match Report,
Regular Season,15,Sun,2018-11-11,15:30,Korona Kielce,1–0,Piast Gliwice,6525,Kolporter Arena,Mariusz Zlotek,Match Report,
Regular Season,15,Sun,2018-11-11,18:00,Jagiellonia,2–2,Lech Poznań,12988,Stadion Miejski,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2018-11-23,18:00,Piast Gliwice,0–0,Zag Sosnowiec,3176,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,16,Sat,2018-11-24,15:30,Korona Kielce,4–2,Górnik Zabrze,5675,Kolporter Arena,Szymon Marciniak,Match Report,
Regular Season,16,Sat,2018-11-24,18:00,Lech Poznań,2–1,Wisła Płock,8442,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,16,Sat,2018-11-24,20:30,Cracovia,1–1,Śląsk Wrocław,4627,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,16,Sun,2018-11-25,13:00,Pogoń Szczecin,2–0,Miedź,6833,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,16,Sun,2018-11-25,15:30,Zagłębie Lubin,0–1,Legia Warsaw,6070,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,16,Sun,2018-11-25,18:00,Lechia Gdańsk,3–2,Jagiellonia,11931,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,16,Mon,2018-11-26,18:00,Arka Gdynia,4–1,Wisła Kraków,5776,Stadion GOSiR,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2018-11-30,18:00,Śląsk Wrocław,0–2,Lechia Gdańsk,6860,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,17,Fri,2018-11-30,20:30,Jagiellonia,3–1,Arka Gdynia,5012,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,17,Sat,2018-12-01,15:30,Wisła Płock,0–4,Górnik Zabrze,3019,Stadion im. Kazimierza Górskiego,Daniel Stefański,Match Report,
Regular Season,17,Sat,2018-12-01,18:00,Miedź,2–0,Wisła Kraków,4399,Stadion im. Orła Białego,Łukasz Szczech,Match Report,
Regular Season,17,Sat,2018-12-01,20:30,Legia Warsaw,3–0,Korona Kielce,18443,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
Regular Season,17,Sun,2018-12-02,15:30,Zag Sosnowiec,1–2,Zagłębie Lubin,2191,Stadion Ludowy,Wojciech Myć,Match Report,
Regular Season,17,Sun,2018-12-02,18:00,Cracovia,1–0,Lech Poznań,4261,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,17,Mon,2018-12-03,18:00,Piast Gliwice,3–0,Pogoń Szczecin,2824,Stadion Miejski,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2018-12-07,18:00,Zagłębie Lubin,2–2,Piast Gliwice,2148,Stadion Zagłębia Lubin,Daniel Stefański,Match Report,
Regular Season,18,Fri,2018-12-07,20:30,Lech Poznań,2–0,Śląsk Wrocław,12545,INEA stadion,Bartosz Frankowski,Match Report,
Regular Season,18,Sat,2018-12-08,15:30,Pogoń Szczecin,1–0,Zag Sosnowiec,6289,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,18,Sat,2018-12-08,18:00,Korona Kielce,2–2,Wisła Płock,5326,Kolporter Arena,Dominik Sulikowski,Match Report,
Regular Season,18,Sat,2018-12-08,20:30,Wisła Kraków,2–2,Jagiellonia,13811,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,18,Sun,2018-12-09,15:30,Górnik Zabrze,1–3,Miedź,11978,Arena Zabrze,Krzysztof Jakubik,Match Report,
Regular Season,18,Sun,2018-12-09,18:00,Lechia Gdańsk,0–0,Legia Warsaw,20856,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,18,Mon,2018-12-10,18:00,Arka Gdynia,0–3,Cracovia,4223,Stadion GOSiR,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2018-12-14,18:00,Wisła Płock,1–2,Wisła Kraków,1951,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,19,Fri,2018-12-14,20:30,Jagiellonia,0–4,Zagłębie Lubin,5163,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,19,Sat,2018-12-15,15:30,Cracovia,2–1,Pogoń Szczecin,3217,Stadion Miejski Legii Warszawa im. Marsz...,Wojciech Myć,Match Report,
Regular Season,19,Sat,2018-12-15,18:00,Górnik Zabrze,1–1,Arka Gdynia,11190,Arena Zabrze,Łukasz Szczech,Match Report,
Regular Season,19,Sat,2018-12-15,20:30,Legia Warsaw,2–0,Piast Gliwice,17026,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
Regular Season,19,Sun,2018-12-16,15:30,Śląsk Wrocław,1–1,Korona Kielce,3710,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,19,Sun,2018-12-16,18:00,Zag Sosnowiec,0–6,Lech Poznań,2945,Stadion Ludowy,Tomasz Kwiatkowski,Match Report,
Regular Season,19,Mon,2018-12-17,18:00,Miedź,0–0,Lechia Gdańsk,4521,Stadion im. Orła Białego,Zbigniew Dobrynin,Match Report,
,,,,,,,,,,,,
Regular Season,20,Thu,2018-12-20,18:00,Pogoń Szczecin,2–1,Śląsk Wrocław,4212,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
Regular Season,20,Thu,2018-12-20,20:30,Zag Sosnowiec,2–3,Legia Warsaw,3554,Stadion Ludowy,Mariusz Zlotek,Match Report,
Regular Season,20,Fri,2018-12-21,18:00,Piast Gliwice,1–1,Jagiellonia,3132,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,20,Fri,2018-12-21,18:00,Arka Gdynia,3–3,Wisła Płock,3901,Stadion GOSiR,Tomasz Kwiatkowski,Match Report,
Regular Season,20,Fri,2018-12-21,20:30,Wisła Kraków,0–1,Lech Poznań,22491,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
Regular Season,20,Sat,2018-12-22,15:30,Korona Kielce,0–0,Miedź,5468,Kolporter Arena,Piotr Lasyk,Match Report,
Regular Season,20,Sat,2018-12-22,18:00,Lechia Gdańsk,4–0,Górnik Zabrze,9757,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,20,Sat,2018-12-22,18:00,Zagłębie Lubin,1–2,Cracovia,3087,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2019-02-08,18:00,Miedź,0–3,Jagiellonia,3814,Stadion im. Orła Białego,Bartosz Frankowski,Match Report,
Regular Season,21,Fri,2019-02-08,20:30,Lech Poznań,1–2,Zagłębie Lubin,12719,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,21,Sat,2019-02-09,15:30,Śląsk Wrocław,2–0,Zag Sosnowiec,7605,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,21,Sat,2019-02-09,18:00,Cracovia,2–1,Piast Gliwice,5683,Stadion Miejski Legii Warszawa im. Marsz...,Wojciech Myć,Match Report,
Regular Season,21,Sat,2019-02-09,20:30,Lechia Gdańsk,2–1,Pogoń Szczecin,13184,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,21,Sun,2019-02-10,15:30,Arka Gdynia,1–2,Korona Kielce,6111,Stadion GOSiR,Paweł Raczkowski,Match Report,
Regular Season,21,Sun,2019-02-10,18:00,Wisła Płock,0–1,Legia Warsaw,8184,Stadion im. Kazimierza Górskiego,Krzysztof Jakubik,Match Report,
Regular Season,21,Mon,2019-02-11,18:00,Górnik Zabrze,2–0,Wisła Kraków,14689,Arena Zabrze,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,22,Fri,2019-02-15,18:00,Pogoń Szczecin,3–1,Górnik Zabrze,6322,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,22,Fri,2019-02-15,20:30,Piast Gliwice,4–0,Lech Poznań,4608,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,22,Sat,2019-02-16,15:30,Jagiellonia,1–0,Wisła Płock,9066,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,22,Sat,2019-02-16,18:00,Zag Sosnowiec,3–2,Arka Gdynia,3029,Stadion Ludowy,Łukasz Szczech,Match Report,
Regular Season,22,Sat,2019-02-16,20:30,Korona Kielce,0–0,Lechia Gdańsk,7529,Kolporter Arena,Krzysztof Jakubik,Match Report,
Regular Season,22,Sun,2019-02-17,15:30,Zagłębie Lubin,3–0,Miedź,9790,Stadion Zagłębia Lubin,Tomasz Musiał,Match Report,
