Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-07-20,18:00,Miedź,1–0,Pogoń Szczecin,5587,Stadion im. Orła Białego,Paweł Raczkowski,Match Report,
Regular Season,1,Fri,2018-07-20,20:30,Jagiellonia,0–1,Lechia Gdańsk,11766,Stadion Miejski,Łukasz Szczech,Match Report,
Regular Season,1,Sat,2018-07-21,15:30,Śląsk Wrocław,3–1,Cracovia,10496,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,1,Sat,2018-07-21,18:00,Wisła Kraków,0–0,Arka Gdynia,9215,Stadion Miejski im. Henryka Reymana,Piotr Lasyk,Match Report,
Regular Season,1,Sat,2018-07-21,20:30,Legia Warsaw,1–3,Zagłębie Lubin,16637,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,1,Sun,2018-07-22,15:30,Górnik Zabrze,1–1,Korona Kielce,16683,Arena Zabrze,Daniel Stefański,Match Report,
Regular Season,1,Sun,2018-07-22,18:00,Wisła Płock,1–2,Lech Poznań,8114,Stadion im. Kazimierza Górskiego,Krzysztof Jakubik,Match Report,
Regular Season,1,Mon,2018-07-23,18:00,Zag Sosnowiec,1–2,Piast Gliwice,4500,Stadion Ludowy,Tomasz Musiał,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2018-07-27,18:00,Lechia Gdańsk,1–1,Śląsk Wrocław,14068,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,2,Fri,2018-07-27,20:30,Wisła Kraków,2–1,Miedź,9517,Stadion Miejski im. Henryka Reymana,Wojciech Myć,Match Report,
Regular Season,2,Sat,2018-07-28,18:00,Zagłębie Lubin,2–1,Zag Sosnowiec,5215,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
Regular Season,2,Sat,2018-07-28,20:30,Korona Kielce,1–2,Legia Warsaw,10806,Kolporter Arena,Piotr Lasyk,Match Report,
Regular Season,2,Sun,2018-07-29,15:30,Górnik Zabrze,1–1,Wisła Płock,11974,Arena Zabrze,Tomasz Musiał,Match Report,
Regular Season,2,Sun,2018-07-29,18:00,Arka Gdynia,0–2,Jagiellonia,10307,Stadion GOSiR,Krzysztof Jakubik,Match Report,
Regular Season,2,Sun,2018-07-29,18:00,Lech Poznań,2–0,Cracovia,,INEA stadion,Mariusz Zlotek,Match Report,
Regular Season,2,Mon,2018-07-30,18:00,Pogoń Szczecin,0–2,Piast Gliwice,7532,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2018-08-03,18:00,Wisła Płock,1–2,Korona Kielce,4126,Stadion im. Kazimierza Górskiego,Łukasz Szczech,Match Report,
Regular Season,3,Fri,2018-08-03,20:30,Zag Sosnowiec,3–0,Pogoń Szczecin,4338,Stadion Ludowy,Jarosław Przybył,Match Report,
Regular Season,3,Sat,2018-08-04,18:00,Piast Gliwice,2–1,Zagłębie Lubin,4114,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,3,Sat,2018-08-04,20:30,Legia Warsaw,0–0,Lechia Gdańsk,21932,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
Regular Season,3,Sun,2018-08-05,15:30,Śląsk Wrocław,0–1,Lech Poznań,17926,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,3,Sun,2018-08-05,18:00,Miedź,1–3,Górnik Zabrze,5614,Stadion im. Orła Białego,Tomasz Kwiatkowski,Match Report,
Regular Season,3,Sun,2018-08-05,18:00,Jagiellonia,1–0,Wisła Kraków,12373,Stadion Miejski,Szymon Marciniak,Match Report,
