Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,4,Sun,2016-08-07,18:00,Legia Warsaw,0–0,Piast Gliwice,18382,Stadion Miejski Legii Warszawa im. Marsz...,Paweł Gil,Match Report,
Regular Season,4,Mon,2016-08-08,18:00,Ruch Chorzów,2–2,Wisła Płock,6176,Stadion Miejski ul. Cicha,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2016-08-12,18:00,Lechia Gdańsk,3–2,Korona Kielce,15386,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,5,Fri,2016-08-12,20:30,Lech Poznań,2–1,Cracovia,10724,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,5,Sat,2016-08-13,15:30,Arka Gdynia,2–0,Śląsk Wrocław,9507,Stadion GOSiR,Daniel Stefański,Match Report,
Regular Season,5,Sat,2016-08-13,18:00,Górnik Łęczna,1–0,Legia Warsaw,9248,Arena Lublin,Krzysztof Jakubik,Match Report,
Regular Season,5,Sat,2016-08-13,20:30,Pogoń Szczecin,5–0,Nieciecza,4292,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
Regular Season,5,Sun,2016-08-14,15:30,Piast Gliwice,0–0,Zagłębie Lubin,4779,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,5,Sun,2016-08-14,18:00,Wisła Kraków,1–2,Ruch Chorzów,12703,Stadion Miejski im. Henryka Reymana,Szymon Marciniak,Match Report,
Regular Season,5,Mon,2016-08-15,18:00,Wisła Płock,1–0,Jagiellonia,7138,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2016-08-19,18:00,Śląsk Wrocław,0–0,Wisła Płock,6679,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,6,Fri,2016-08-19,20:30,Nieciecza,0–0,Lech Poznań,4595,Stadion Bruk-Bet,Szymon Marciniak,Match Report,
Regular Season,6,Sat,2016-08-20,15:30,Cracovia,1–1,Ruch Chorzów,,Stadion Cracovii,Paweł Gil,Match Report,
Regular Season,6,Sat,2016-08-20,18:00,Piast Gliwice,0–2,Pogoń Szczecin,4296,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,6,Sat,2016-08-20,20:30,Legia Warsaw,1–3,Arka Gdynia,16529,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Złotek,Match Report,
Regular Season,6,Sun,2016-08-21,15:30,Zagłębie Lubin,0–0,Górnik Łęczna,5212,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
Regular Season,6,Sun,2016-08-21,18:00,Jagiellonia,0–1,Lechia Gdańsk,17100,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,6,Mon,2016-08-22,18:00,Korona Kielce,1–0,Wisła Kraków,6754,Kolporter Arena,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2016-08-26,18:00,Wisła Płock,1–2,Korona Kielce,6912,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,7,Fri,2016-08-26,20:30,Wisła Kraków,1–5,Śląsk Wrocław,13607,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,7,Sat,2016-08-27,15:30,Pogoń Szczecin,1–1,Cracovia,8125,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,7,Sat,2016-08-27,18:00,Górnik Łęczna,0–2,Jagiellonia,2817,Arena Lublin,Bartosz Frankowski,Match Report,
Regular Season,7,Sat,2016-08-27,20:30,Arka Gdynia,1–1,Zagłębie Lubin,10002,Stadion GOSiR,Szymon Marciniak,Match Report,
Regular Season,7,Sun,2016-08-28,15:30,Lech Poznań,2–0,Piast Gliwice,11254,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,7,Sun,2016-08-28,18:00,Ruch Chorzów,0–2,Legia Warsaw,9000,Stadion Miejski ul. Cicha,Daniel Stefański,Match Report,
Regular Season,7,Sun,2016-08-28,18:00,Lechia Gdańsk,1–2,Nieciecza,17140,Stadion Energa Gdańsk,Piotr Lasyk,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2016-09-09,18:00,Cracovia,0–1,Lechia Gdańsk,8413,Stadion Cracovii,Jarosław Przybył,Match Report,
Regular Season,8,Fri,2016-09-09,20:30,Zagłębie Lubin,1–2,Wisła Płock,5194,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,8,Sat,2016-09-10,15:30,Piast Gliwice,3–3,Górnik Łęczna,4286,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,8,Sat,2016-09-10,18:00,Korona Kielce,1–0,Arka Gdynia,7356,Kolporter Arena,Daniel Stefański,Match Report,
Regular Season,8,Sat,2016-09-10,20:30,Nieciecza,2–1,Legia Warsaw,4559,Stadion Bruk-Bet,Bartosz Frankowski,Match Report,
Regular Season,8,Sun,2016-09-11,15:30,Lech Poznań,3–1,Pogoń Szczecin,17247,INEA stadion,Szymon Marciniak,Match Report,
Regular Season,8,Sun,2016-09-11,18:00,Jagiellonia,2–1,Wisła Kraków,18646,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,8,Mon,2016-09-12,18:00,Śląsk Wrocław,1–2,Ruch Chorzów,8384,Stadion Miejski,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2016-09-16,18:00,Ruch Chorzów,0–1,Nieciecza,,Stadion Miejski ul. Cicha,Paweł Gil,Match Report,
Regular Season,9,Fri,2016-09-16,20:30,Śląsk Wrocław,0–4,Jagiellonia,10715,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,9,Sat,2016-09-17,15:30,Górnik Łęczna,4–0,Korona Kielce,2401,Arena Lublin,Krzysztof Jakubik,Match Report,
Regular Season,9,Sat,2016-09-17,18:00,Wisła Płock,2–0,Pogoń Szczecin,5620,Stadion im. Kazimierza Górskiego,Mariusz Złotek,Match Report,
Regular Season,9,Sat,2016-09-17,20:30,Wisła Kraków,1–0,Piast Gliwice,8483,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
Regular Season,9,Sun,2016-09-18,15:30,Lechia Gdańsk,2–1,Lech Poznań,26054,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
Regular Season,9,Sun,2016-09-18,18:00,Legia Warsaw,2–3,Zagłębie Lubin,14216,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
Regular Season,9,Mon,2016-09-19,18:00,Arka Gdynia,1–0,Cracovia,9436,Stadion GOSiR,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2016-09-23,18:00,Nieciecza,0–0,Wisła Płock,3851,Stadion Bruk-Bet,Daniel Stefański,Match Report,
Regular Season,10,Fri,2016-09-23,20:30,Wisła Kraków,0–0,Legia Warsaw,19477,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,10,Sat,2016-09-24,15:30,Pogoń Szczecin,1–1,Górnik Łęczna,4354,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
Regular Season,10,Sat,2016-09-24,18:00,Lechia Gdańsk,2–1,Ruch Chorzów,15433,Stadion Energa Gdańsk,Tomasz Musiał,Match Report,
Regular Season,10,Sat,2016-09-24,20:30,Zagłębie Lubin,1–1,Cracovia,6134,Stadion Zagłębia Lubin,Szymon Marciniak,Match Report,
Regular Season,10,Sun,2016-09-25,15:30,Korona Kielce,1–2,Jagiellonia,6979,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,10,Sun,2016-09-25,18:00,Lech Poznań,0–0,Arka Gdynia,39539,INEA stadion,Jarosław Przybył,Match Report,
Regular Season,10,Mon,2016-09-26,18:00,Piast Gliwice,1–1,Śląsk Wrocław,4252,Stadion Miejski,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2016-09-30,18:00,Ruch Chorzów,1–2,Zagłębie Lubin,5781,Stadion Miejski ul. Cicha,Tomasz Kwiatkowski,Match Report,
Regular Season,11,Fri,2016-09-30,20:30,Górnik Łęczna,1–2,Lech Poznań,7078,Arena Lublin,Piotr Lasyk,Match Report,
Regular Season,11,Sat,2016-10-01,15:30,Arka Gdynia,1–2,Piast Gliwice,7658,Stadion GOSiR,Jarosław Przybył,Match Report,
Regular Season,11,Sat,2016-10-01,18:00,Wisła Płock,2–3,Wisła Kraków,7558,Stadion im. Kazimierza Górskiego,Paweł Raczkowski,Match Report,
Regular Season,11,Sat,2016-10-01,20:30,Legia Warsaw,3–0,Lechia Gdańsk,18929,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,11,Sun,2016-10-02,15:30,Cracovia,6–0,Korona Kielce,8867,Stadion Cracovii,Bartosz Frankowski,Match Report,
Regular Season,11,Sun,2016-10-02,15:30,Śląsk Wrocław,1–2,Nieciecza,7907,Stadion Miejski,Mariusz Złotek,Match Report,
Regular Season,11,Sun,2016-10-02,18:00,Jagiellonia,0–0,Pogoń Szczecin,16850,Stadion Miejski,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2016-10-14,18:00,Cracovia,1–0,Wisła Płock,7286,Stadion Cracovii,Krzysztof Jakubik,Match Report,
Regular Season,12,Fri,2016-10-14,20:30,Pogoń Szczecin,3–2,Legia Warsaw,9328,Stadion Miejski im. Floriana Krygiera,Mariusz Złotek,Match Report,
Regular Season,12,Sat,2016-10-15,15:30,Górnik Łęczna,0–0,Arka Gdynia,2558,Arena Lublin,Daniel Stefański,Match Report,
Regular Season,12,Sat,2016-10-15,18:00,Piast Gliwice,2–1,Ruch Chorzów,7662,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,12,Sat,2016-10-15,20:30,Zagłębie Lubin,1–2,Lechia Gdańsk,8317,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Regular Season,12,Sun,2016-10-16,15:30,Nieciecza,0–0,Jagiellonia,4378,Stadion Bruk-Bet,Tomasz Kwiatkowski,Match Report,
Regular Season,12,Sun,2016-10-16,18:00,Lech Poznań,1–1,Wisła Kraków,20158,INEA stadion,Jarosław Przybył,Match Report,
Regular Season,12,Mon,2016-10-17,18:00,Korona Kielce,1–2,Śląsk Wrocław,4505,Kolporter Arena,Paweł Gil,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2016-10-21,18:00,Arka Gdynia,0–3,Pogoń Szczecin,6512,Stadion GOSiR,Bartosz Frankowski,Match Report,
Regular Season,13,Fri,2016-10-21,20:30,Wisła Kraków,2–0,Nieciecza,11347,Stadion Miejski im. Henryka Reymana,Paweł Raczkowski,Match Report,
Regular Season,13,Sat,2016-10-22,15:30,Wisła Płock,1–2,Górnik Łęczna,3529,Stadion im. Kazimierza Górskiego,Tomasz Kwiatkowski,Match Report,
Regular Season,13,Sat,2016-10-22,18:00,Śląsk Wrocław,2–2,Cracovia,6482,Stadion Miejski,Piotr Lasyk,Match Report,
Regular Season,13,Sat,2016-10-22,20:30,Legia Warsaw,2–1,Lech Poznań,28842,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,13,Sun,2016-10-23,15:30,Lechia Gdańsk,3–2,Piast Gliwice,17206,Stadion Energa Gdańsk,Paweł Gil,Match Report,
Regular Season,13,Sun,2016-10-23,18:00,Jagiellonia,1–2,Zagłębie Lubin,10006,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,13,Mon,2016-10-24,18:00,Ruch Chorzów,4–0,Korona Kielce,5365,Stadion Miejski ul. Cicha,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2016-10-28,18:00,Piast Gliwice,2–1,Nieciecza,4726,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,14,Fri,2016-10-28,20:30,Korona Kielce,2–4,Legia Warsaw,8477,Kolporter Arena,Tomasz Musiał,Match Report,
Regular Season,14,Sat,2016-10-29,15:30,Górnik Łęczna,0–3,Śląsk Wrocław,2606,Arena Lublin,Mariusz Złotek,Match Report,
Regular Season,14,Sat,2016-10-29,18:00,Pogoń Szczecin,2–1,Ruch Chorzów,8397,Stadion Miejski im. Floriana Krygiera,Paweł Raczkowski,Match Report,
Regular Season,14,Sat,2016-10-29,20:30,Lech Poznań,2–0,Wisła Płock,9591,INEA stadion,Krzysztof Jakubik,Match Report,
Regular Season,14,Sun,2016-10-30,15:30,Cracovia,1–3,Jagiellonia,7755,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,14,Sun,2016-10-30,18:00,Arka Gdynia,1–1,Lechia Gdańsk,14029,Stadion GOSiR,Tomasz Kwiatkowski,Match Report,
Regular Season,14,Mon,2016-10-31,18:00,Zagłębie Lubin,2–2,Wisła Kraków,6281,Stadion Zagłębia Lubin,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2016-11-04,18:00,Wisła Płock,0–0,Arka Gdynia,3357,Stadion im. Kazimierza Górskiego,Piotr Lasyk,Match Report,
Regular Season,15,Fri,2016-11-04,20:30,Ruch Chorzów,0–5,Lech Poznań,7629,Stadion Miejski ul. Cicha,Daniel Stefański,Match Report,
Regular Season,15,Sat,2016-11-05,15:30,Nieciecza,1–3,Korona Kielce,3972,Stadion Bruk-Bet,Jarosław Przybył,Match Report,
Regular Season,15,Sat,2016-11-05,18:00,Jagiellonia,2–0,Piast Gliwice,8260,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,15,Sat,2016-11-05,20:30,Lechia Gdańsk,1–1,Pogoń Szczecin,14461,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,15,Sun,2016-11-06,15:30,Śląsk Wrocław,2–1,Zagłębie Lubin,10778,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,15,Sun,2016-11-06,15:30,Wisła Kraków,3–2,Górnik Łęczna,10632,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
Regular Season,15,Sun,2016-11-06,18:00,Legia Warsaw,2–0,Cracovia,24342,Stadion Miejski Legii Warszawa im. Marsz...,Mariusz Złotek,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2016-11-18,18:00,Piast Gliwice,2–2,Cracovia,4532,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,16,Fri,2016-11-18,20:30,Jagiellonia,1–4,Legia Warsaw,18765,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,16,Sat,2016-11-19,15:30,Górnik Łęczna,0–4,Ruch Chorzów,1896,Arena Lublin,Paweł Raczkowski,Match Report,
Regular Season,16,Sat,2016-11-19,18:00,Pogoń Szczecin,6–2,Wisła Kraków,6935,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
Regular Season,16,Sat,2016-11-19,20:30,Lechia Gdańsk,2–1,Wisła Płock,12921,Stadion Energa Gdańsk,Mariusz Złotek,Match Report,
Regular Season,16,Sun,2016-11-20,15:30,Arka Gdynia,1–3,Nieciecza,1915,Stadion GOSiR,Łukasz Bednarek,Match Report,
Regular Season,16,Sun,2016-11-20,18:00,Lech Poznań,3–0,Śląsk Wrocław,15943,INEA stadion,Tomasz Musiał,Match Report,
Regular Season,16,Mon,2016-11-21,18:00,Korona Kielce,2–1,Zagłębie Lubin,4774,Kolporter Arena,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,2016-11-25,18:00,Cracovia,1–3,Nieciecza,7164,Stadion Cracovii,Piotr Lasyk,Match Report,
Regular Season,17,Fri,2016-11-25,20:30,Zagłębie Lubin,0–3,Lech Poznań,8819,Stadion Zagłębia Lubin,Paweł Gil,Match Report,
Regular Season,17,Sat,2016-11-26,15:30,Korona Kielce,4–1,Pogoń Szczecin,5260,Kolporter Arena,Mariusz Złotek,Match Report,
Regular Season,17,Sat,2016-11-26,18:00,Ruch Chorzów,1–2,Jagiellonia,6587,Stadion Miejski ul. Cicha,Krzysztof Jakubik,Match Report,
Regular Season,17,Sat,2016-11-26,20:30,Wisła Kraków,5–1,Arka Gdynia,9132,Stadion Miejski im. Henryka Reymana,Jarosław Przybył,Match Report,
Regular Season,17,Sun,2016-11-27,15:30,Wisła Płock,0–0,Piast Gliwice,3145,Stadion im. Kazimierza Górskiego,Bartosz Frankowski,Match Report,
Regular Season,17,Sun,2016-11-27,18:00,Śląsk Wrocław,0–4,Legia Warsaw,22004,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,17,Mon,2016-11-28,18:00,Lechia Gdańsk,3–0,Górnik Łęczna,11075,Stadion Energa Gdańsk,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2016-12-02,18:00,Nieciecza,0–1,Zagłębie Lubin,3011,Stadion Bruk-Bet,Szymon Marciniak,Match Report,
Regular Season,18,Fri,2016-12-02,20:30,Legia Warsaw,2–2,Wisła Płock,21761,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,18,Sat,2016-12-03,15:30,Piast Gliwice,1–0,Korona Kielce,4002,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,18,Sat,2016-12-03,18:00,Śląsk Wrocław,1–1,Pogoń Szczecin,4001,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,18,Sat,2016-12-03,20:30,Wisła Kraków,3–0,Lechia Gdańsk,9607,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,18,Sun,2016-12-04,15:30,Cracovia,1–1,Górnik Łęczna,5432,Stadion Cracovii,Paweł Raczkowski,Match Report,
Regular Season,18,Sun,2016-12-04,18:00,Jagiellonia,2–1,Lech Poznań,10000,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,18,Mon,2016-12-05,18:00,Ruch Chorzów,1–2,Arka Gdynia,5029,Stadion Miejski ul. Cicha,Zbigniew Dobrynin,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2016-12-09,18:00,Pogoń Szczecin,1–1,Zagłębie Lubin,4486,Stadion Miejski im. Floriana Krygiera,Piotr Lasyk,Match Report,
Regular Season,19,Fri,2016-12-09,20:30,Lechia Gdańsk,3–0,Śląsk Wrocław,13574,Stadion Energa Gdańsk,Łukasz Bednarek,Match Report,
Regular Season,19,Sat,2016-12-10,15:30,Górnik Łęczna,3–0,Nieciecza,1503,Arena Lublin,Bartosz Frankowski,Match Report,
Regular Season,19,Sat,2016-12-10,18:00,Wisła Płock,4–3,Ruch Chorzów,2914,Stadion im. Kazimierza Górskiego,Jarosław Przybył,Match Report,
Regular Season,19,Sat,2016-12-10,20:30,Wisła Kraków,1–1,Cracovia,28907,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,19,Sun,2016-12-11,15:30,Lech Poznań,1–0,Korona Kielce,12025,INEA stadion,Krzysztof Jakubik,Match Report,
Regular Season,19,Sun,2016-12-11,18:00,Piast Gliwice,1–5,Legia Warsaw,8219,Stadion Miejski,Mariusz Złotek,Match Report,
Regular Season,19,Mon,2016-12-12,18:00,Arka Gdynia,2–3,Jagiellonia,4058,Stadion GOSiR,Szymon Marciniak,Match Report,
,,,,,,,,,,,,
Regular Season,20,Fri,2016-12-16,18:00,Nieciecza,2–0,Pogoń Szczecin,2084,Stadion Bruk-Bet,Krzysztof Jakubik,Match Report,
Regular Season,20,Fri,2016-12-16,20:30,Ruch Chorzów,1–0,Wisła Kraków,7137,Stadion Miejski ul. Cicha,Paweł Gil,Match Report,
Regular Season,20,Sat,2016-12-17,15:30,Korona Kielce,2–0,Lechia Gdańsk,4354,Kolporter Arena,Paweł Raczkowski,Match Report,
Regular Season,20,Sat,2016-12-17,18:00,Jagiellonia,1–2,Wisła Płock,8127,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,20,Sat,2016-12-17,20:30,Cracovia,1–1,Lech Poznań,8117,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,20,Sun,2016-12-18,15:30,Śląsk Wrocław,0–2,Arka Gdynia,7314,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,20,Sun,2016-12-18,18:00,Legia Warsaw,5–0,Górnik Łęczna,21901,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,20,Mon,2016-12-19,18:00,Zagłębie Lubin,2–1,Piast Gliwice,4121,Stadion Zagłębia Lubin,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2017-02-10,18:00,Ruch Chorzów,0–1,Cracovia,6179,Stadion Miejski ul. Cicha,Paweł Raczkowski,Match Report,
Regular Season,21,Fri,2017-02-10,20:30,Lech Poznań,3–0,Nieciecza,10453,INEA stadion,Paweł Gil,Match Report,
Regular Season,21,Sat,2017-02-11,18:00,Wisła Kraków,2–0,Korona Kielce,10501,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,21,Sat,2017-02-11,20:30,Arka Gdynia,0–1,Legia Warsaw,9154,Stadion GOSiR,Tomasz Musiał,Match Report,
Regular Season,21,Sun,2017-02-12,15:30,Wisła Płock,1–1,Śląsk Wrocław,2117,Stadion im. Kazimierza Górskiego,Daniel Stefański,Match Report,
Regular Season,21,Sun,2017-02-12,18:00,Lechia Gdańsk,3–0,Jagiellonia,15513,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,21,Mon,2017-02-13,18:00,Pogoń Szczecin,1–1,Piast Gliwice,3882,Stadion Miejski im. Floriana Krygiera,Jarosław Przybył,Match Report,
,,,,,,,,,,,,
Regular Season,22,Fri,2017-02-17,18:00,Jagiellonia,5–0,Górnik Łęczna,5531,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,22,Fri,2017-02-17,20:30,Nieciecza,1–1,Lechia Gdańsk,3012,Stadion Bruk-Bet,Paweł Raczkowski,Match Report,
Regular Season,22,Sat,2017-02-18,15:30,Korona Kielce,4–2,Wisła Płock,5166,Kolporter Arena,Tomasz Musiał,Match Report,
Regular Season,22,Sat,2017-02-18,18:00,Śląsk Wrocław,1–0,Wisła Kraków,9667,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,22,Sat,2017-02-18,20:30,Piast Gliwice,0–3,Lech Poznań,3875,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,22,Sun,2017-02-19,15:30,Cracovia,1–1,Pogoń Szczecin,7824,Stadion Cracovii,Szymon Marciniak,Match Report,
Regular Season,22,Sun,2017-02-19,18:00,Legia Warsaw,1–3,Ruch Chorzów,17409,Stadion Miejski Legii Warszawa im. Marsz...,Daniel Stefański,Match Report,
Regular Season,22,Mon,2017-02-20,18:00,Zagłębie Lubin,1–0,Arka Gdynia,5125,Stadion Zagłębia Lubin,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
