Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2016-07-15,18:00,Wisła Płock,2–1,Lechia Gdańsk,8321,Stadion im. Kazimierza Górskiego,Daniel Stefański,Match Report,
Regular Season,1,Fri,2016-07-15,20:30,Śląsk Wrocław,0–0,Lech Poznań,12402,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,1,Sat,2016-07-16,15:30,Ruch Chorzów,2–1,Górnik Łęczna,5401,Stadion Miejski ul. Cicha,Mariusz Złotek,Match Report,
Regular Season,1,Sat,2016-07-16,18:00,Wisła Kraków,2–1,Pogoń Szczecin,9779,Stadion Miejski im. Henryka Reymana,Paweł Gil,Match Report,
Regular Season,1,Sat,2016-07-16,20:30,Legia Warsaw,1–1,Jagiellonia,13654,Stadion Miejski Legii Warszawa im. Marsz...,Szymon Marciniak,Match Report,
Regular Season,1,Sun,2016-07-17,15:30,Zagłębie Lubin,4–0,Korona Kielce,5073,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
Regular Season,1,Sun,2016-07-17,18:00,Cracovia,5–1,Piast Gliwice,7659,Stadion Cracovii,Tomasz Kwiatkowski,Match Report,
Regular Season,1,Mon,2016-07-18,18:00,Nieciecza,2–0,Arka Gdynia,3338,Stadion Bruk-Bet,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2016-07-22,18:00,Pogoń Szczecin,1–1,Korona Kielce,6234,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,2,Fri,2016-07-22,20:30,Arka Gdynia,3–0,Wisła Kraków,10203,Stadion GOSiR,Tomasz Kwiatkowski,Match Report,
Regular Season,2,Sat,2016-07-23,18:00,Jagiellonia,4–1,Ruch Chorzów,13240,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,2,Sat,2016-07-23,20:30,Legia Warsaw,0–0,Śląsk Wrocław,12200,Stadion Miejski Legii Warszawa im. Marsz...,Jarosław Przybył,Match Report,
Regular Season,2,Sun,2016-07-24,15:30,Nieciecza,3–2,Cracovia,4595,Stadion Bruk-Bet,Mariusz Złotek,Match Report,
Regular Season,2,Sun,2016-07-24,15:30,Piast Gliwice,2–1,Wisła Płock,4581,Stadion Miejski,Paweł Gil,Match Report,
Regular Season,2,Sun,2016-07-24,18:00,Lech Poznań,0–2,Zagłębie Lubin,16354,INEA stadion,Daniel Stefański,Match Report,
Regular Season,2,Mon,2016-07-25,18:00,Górnik Łęczna,1–2,Lechia Gdańsk,3574,Arena Lublin,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2016-07-29,18:00,Arka Gdynia,3–0,Ruch Chorzów,10099,Stadion GOSiR,Paweł Gil,Match Report,
Regular Season,3,Fri,2016-07-29,20:30,Lech Poznań,0–2,Jagiellonia,10396,INEA stadion,Paweł Raczkowski,Match Report,
Regular Season,3,Sat,2016-07-30,18:00,Lechia Gdańsk,3–1,Wisła Kraków,15960,Stadion Energa Gdańsk,Krzysztof Jakubik,Match Report,
Regular Season,3,Sat,2016-07-30,20:30,Wisła Płock,2–3,Legia Warsaw,9679,Stadion im. Kazimierza Górskiego,Tomasz Musiał,Match Report,
Regular Season,3,Sun,2016-07-31,15:30,Zagłębie Lubin,2–0,Nieciecza,6193,Stadion Zagłębia Lubin,Piotr Lasyk,Match Report,
Regular Season,3,Sun,2016-07-31,15:30,Górnik Łęczna,0–0,Cracovia,4015,Arena Lublin,Jarosław Przybył,Match Report,
Regular Season,3,Sun,2016-07-31,18:00,Korona Kielce,1–1,Piast Gliwice,5062,Kolporter Arena,Bartosz Frankowski,Match Report,
Regular Season,3,Mon,2016-08-01,18:00,Pogoń Szczecin,0–2,Śląsk Wrocław,6120,Stadion Miejski im. Floriana Krygiera,Daniel Stefański,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2016-08-05,18:00,Jagiellonia,4–1,Arka Gdynia,16471,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,4,Fri,2016-08-05,20:30,Cracovia,2–1,Wisła Kraków,14000,Stadion Cracovii,Daniel Stefański,Match Report,
Regular Season,4,Sat,2016-08-06,15:30,Nieciecza,2–1,Górnik Łęczna,3017,Stadion Bruk-Bet,Sebastian Krasny,Match Report,
Regular Season,4,Sat,2016-08-06,18:00,Śląsk Wrocław,0–0,Lechia Gdańsk,13166,Stadion Miejski,Paweł Raczkowski,Match Report,
Regular Season,4,Sat,2016-08-06,20:30,Korona Kielce,4–1,Lech Poznań,5989,Kolporter Arena,Piotr Lasyk,Match Report,
Regular Season,4,Sun,2016-08-07,15:30,Zagłębie Lubin,1–1,Pogoń Szczecin,6298,Stadion Zagłębia Lubin,Tomasz Kwiatkowski,Match Report,
