Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Tue,2017-08-15,15:30,Śląsk Wrocław,1–1,Nieciecza,11050,Stadion Miejski,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2017-08-18,18:00,Lechia Gdańsk,2–3,Nowy Sącz,11019,Stadion Energa Gdańsk,Bartosz Frankowski,Match Report,
Regular Season,6,Fri,2017-08-18,20:30,Cracovia,3–3,Górnik Zabrze,8346,Stadion Cracovii,Paweł Raczkowski,Match Report,
Regular Season,6,Sat,2017-08-19,15:30,Arka Gdynia,0–3,Pogoń Szczecin,9074,Stadion GOSiR,Szymon Marciniak,Match Report,
Regular Season,6,Sat,2017-08-19,18:00,Piast Gliwice,2–0,Korona Kielce,4879,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,6,Sat,2017-08-19,20:30,Jagiellonia,1–1,Śląsk Wrocław,10437,Stadion Miejski,Tomasz Kwiatkowski,Match Report,
Regular Season,6,Sun,2017-08-20,15:30,Wisła Płock,0–1,Legia Warsaw,9718,Stadion im. Kazimierza Górskiego,Daniel Stefański,Match Report,
Regular Season,6,Sun,2017-08-20,18:00,Nieciecza,1–3,Lech Poznań,4381,Stadion Bruk-Bet,Tomasz Musiał,Match Report,
Regular Season,6,Mon,2017-08-21,18:00,Zagłębie Lubin,3–0,Wisła Kraków,8081,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2017-08-25,18:00,Górnik Zabrze,4–0,Wisła Płock,20054,Arena Zabrze,Tomasz Musiał,Match Report,
Regular Season,7,Fri,2017-08-25,20:30,Śląsk Wrocław,2–1,Cracovia,8967,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,7,Sat,2017-08-26,15:30,Korona Kielce,2–1,Nieciecza,6475,Kolporter Arena,Piotr Lasyk,Match Report,
Regular Season,7,Sat,2017-08-26,18:00,Jagiellonia,0–1,Piast Gliwice,10658,Stadion Miejski,Krzysztof Jakubik,Match Report,
Regular Season,7,Sat,2017-08-26,20:30,Wisła Kraków,1–1,Lechia Gdańsk,9131,Stadion Miejski im. Henryka Reymana,Mariusz Zlotek,Match Report,
Regular Season,7,Sun,2017-08-27,15:30,Nowy Sącz,2–1,Pogoń Szczecin,2240,Stadion Bruk-Bet,Jarosław Przybył,Match Report,
Regular Season,7,Sun,2017-08-27,15:30,Lech Poznań,3–0,Arka Gdynia,20574,INEA stadion,Tomasz Kwiatkowski,Match Report,
Regular Season,7,Sun,2017-08-27,18:00,Legia Warsaw,2–1,Zagłębie Lubin,14941,Stadion Miejski Legii Warszawa im. Marsz...,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2017-09-08,18:00,Zagłębie Lubin,2–2,Wisła Płock,5178,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
Regular Season,8,Fri,2017-09-08,20:30,Arka Gdynia,3–1,Wisła Kraków,7718,Stadion GOSiR,Bartosz Frankowski,Match Report,
Regular Season,8,Sat,2017-09-09,15:30,Korona Kielce,1–0,Nowy Sącz,7750,Kolporter Arena,Daniel Stefański,Match Report,
Regular Season,8,Sat,2017-09-09,18:00,Śląsk Wrocław,2–1,Legia Warsaw,24086,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,8,Sat,2017-09-09,20:30,Cracovia,1–1,Jagiellonia,7262,Stadion Cracovii,Paweł Gil,Match Report,
